repo,skill_id,name,description,version,path,classification,category,has_frontmatter,body_length,keep,notes
CCPI,orchestrating-multi-agent-systems,Orchestrating Multi-Agent Systems,"This skill enables Claude to orchestrate multi-agent systems using the AI SDK v5. It allows Claude to set up agent handoffs, intelligent routing, and coordinated workflows across different AI provider",,backups/plugin-enhancements/plugin-backups/ai-sdk-agents_20251020_025914/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2702,,
CCPI,creating-alerting-rules,Creating Alerting Rules,"This skill enables Claude to create intelligent alerting rules for proactive performance monitoring. It is triggered when the user requests to ""create alerts"", ""define monitoring rules"", or ""set up al",,backups/plugin-enhancements/plugin-backups/alerting-rule-creator_20251020_073021/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2369,,
CCPI,detecting-data-anomalies,Detecting Data Anomalies,"This skill empowers Claude to identify anomalies and outliers within datasets. It leverages the anomaly-detection-system plugin to analyze data, apply appropriate machine learning algorithms, and high",,backups/plugin-enhancements/plugin-backups/anomaly-detection-system_20251019_190036/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2543,,
CCPI,detecting-data-anomalies,Detecting Data Anomalies,"This skill empowers Claude to identify anomalies and outliers within datasets. It leverages the anomaly-detection-system plugin to analyze data, apply appropriate machine learning algorithms, and high",,backups/plugin-enhancements/plugin-backups/anomaly-detection-system_20251020_023958/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2543,,
CCPI,creating-ansible-playbooks,Creating Ansible Playbooks,"This skill creates Ansible playbooks for automating configuration management tasks. It generates production-ready, multi-platform playbooks based on user-defined requirements, incorporating best pract",,backups/plugin-enhancements/plugin-backups/ansible-playbook-creator_20251020_070359/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2198,,
CCPI,fuzzing-apis,Fuzzing APIs,"This skill enables Claude to perform automated fuzz testing on APIs to discover vulnerabilities, crashes, and unexpected behavior. It leverages malformed inputs, boundary values, and random payloads t",,backups/plugin-enhancements/plugin-backups/api-fuzzer_20251019_154030/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2216,,
CCPI,fuzzing-apis,Fuzzing APIs,"This skill enables Claude to perform automated fuzz testing on APIs to discover vulnerabilities, crashes, and unexpected behavior. It leverages malformed inputs, boundary values, and random payloads t",,backups/plugin-enhancements/plugin-backups/api-fuzzer_20251020_005259/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2216,,
CCPI,automating-api-testing,Automating API Testing,"This skill automates API endpoint testing, including request generation, validation, and comprehensive test coverage for REST and GraphQL APIs. It is used when the user requests API testing, contract ",,backups/plugin-enhancements/plugin-backups/api-test-automation_20251019_150625/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2372,,
CCPI,automating-api-testing,Automating API Testing,"This skill automates API endpoint testing, including request generation, validation, and comprehensive test coverage for REST and GraphQL APIs. It is used when the user requests API testing, contract ",,backups/plugin-enhancements/plugin-backups/api-test-automation_20251020_003558/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2372,,
CCPI,creating-apm-dashboards,Creating APM Dashboards,"This skill enables Claude to create Application Performance Monitoring (APM) dashboards. It is triggered when the user requests the creation of a new APM dashboard, monitoring dashboard, or a dashboar",,backups/plugin-enhancements/plugin-backups/apm-dashboard-creator_20251020_073211/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2832,,
CCPI,profiling-application-performance,Profiling Application Performance,"This skill enables Claude to profile application performance, analyzing CPU usage, memory consumption, and execution time. It is triggered when the user requests performance analysis, bottleneck ident",,backups/plugin-enhancements/plugin-backups/application-profiler_20251020_075450/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2134,,
CCPI,validating-authentication-implementations,Validating Authentication Implementations,"This skill enables Claude to validate authentication implementations against security best practices and industry standards. It analyzes various authentication methods, including JWT, OAuth, session-b",,backups/plugin-enhancements/plugin-backups/authentication-validator_20251019_141929/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2610,,
CCPI,validating-authentication-implementations,Validating Authentication Implementations,"This skill enables Claude to validate authentication implementations against security best practices and industry standards. It analyzes various authentication methods, including JWT, OAuth, session-b",,backups/plugin-enhancements/plugin-backups/authentication-validator_20251020_001153/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2610,,
CCPI,configuring-auto-scaling-policies,Configuring Auto-Scaling Policies,"This skill configures auto-scaling policies for applications and infrastructure. It generates production-ready configurations based on user requirements, implementing best practices for scalability an",,backups/plugin-enhancements/plugin-backups/auto-scaling-configurator_20251020_065356/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2585,,
CCPI,building-automl-pipelines,Building AutoML Pipelines,"This skill empowers Claude to build AutoML pipelines using the automl-pipeline-builder plugin. It is triggered when the user requests the creation of an automated machine learning pipeline, specifies ",,backups/plugin-enhancements/plugin-backups/automl-pipeline-builder_20251019_194050/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2323,,
CCPI,building-automl-pipelines,Building AutoML Pipelines,"This skill empowers Claude to build AutoML pipelines using the automl-pipeline-builder plugin. It is triggered when the user requests the creation of an automated machine learning pipeline, specifies ",,backups/plugin-enhancements/plugin-backups/automl-pipeline-builder_20251020_030140/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2323,,
CCPI,implementing-backup-strategies,Implementing Backup Strategies,This skill implements backup strategies for databases and applications. It generates configuration files and setup code to ensure data protection and disaster recovery. Use this skill when the user re,,backups/plugin-enhancements/plugin-backups/backup-strategy-implementor_20251020_065147/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2464,,
CCPI,detecting-performance-bottlenecks,Detecting Performance Bottlenecks,"This skill enables Claude to detect and resolve performance bottlenecks in applications. It analyzes CPU, memory, I/O, and database performance to identify areas of concern. Use this skill when you ne",,backups/plugin-enhancements/plugin-backups/bottleneck-detector_20251020_072140/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2167,,
CCPI,conducting-browser-compatibility-tests,Conducting Browser Compatibility Tests,"This skill enables cross-browser compatibility testing for web applications using BrowserStack, Selenium Grid, or Playwright. It tests across Chrome, Firefox, Safari, and Edge, identifying browser-spe",,backups/plugin-enhancements/plugin-backups/browser-compatibility-tester_20251019_151328/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2668,,
CCPI,conducting-browser-compatibility-tests,Conducting Browser Compatibility Tests,"This skill enables cross-browser compatibility testing for web applications using BrowserStack, Selenium Grid, or Playwright. It tests across Chrome, Firefox, Safari, and Edge, identifying browser-spe",,backups/plugin-enhancements/plugin-backups/browser-compatibility-tester_20251020_003947/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2668,,
CCPI,optimizing-cache-performance,Optimizing Cache Performance,"This skill enables Claude to analyze and improve application caching strategies. It optimizes cache hit rates, TTL configurations, cache key design, and invalidation strategies. Use this skill when th",,backups/plugin-enhancements/plugin-backups/cache-performance-optimizer_20251020_071752/skills/skill-adapter/SKILL.md,BACKUP,,Yes,1936,,
CCPI,analyzing-capacity-planning,Analyzing Capacity Planning,"This skill enables Claude to analyze capacity requirements and plan for future growth. It uses the capacity-planning-analyzer plugin to assess current utilization, forecast growth trends, and recommen",,backups/plugin-enhancements/plugin-backups/capacity-planning-analyzer_20251020_074147/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2348,,
CCPI,conducting-chaos-engineering,Conducting Chaos Engineering,"This skill enables Claude to design and execute chaos engineering experiments to test system resilience. It is used when the user requests help with failure injection, latency simulation, resource exh",,backups/plugin-enhancements/plugin-backups/chaos-engineering-toolkit_20251019_155039/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2839,,
CCPI,conducting-chaos-engineering,Conducting Chaos Engineering,"This skill enables Claude to design and execute chaos engineering experiments to test system resilience. It is used when the user requests help with failure injection, latency simulation, resource exh",,backups/plugin-enhancements/plugin-backups/chaos-engineering-toolkit_20251020_005832/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2839,,
CCPI,building-ci/cd-pipelines,Building CI/CD Pipelines,"This skill enables Claude to generate CI/CD pipeline configurations for various platforms, including GitHub Actions, GitLab CI, and Jenkins. It is used when a user requests the creation of a CI/CD pip",,backups/plugin-enhancements/plugin-backups/ci-cd-pipeline-builder_20251020_065941/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2235,,
CCPI,building-classification-models,Building Classification Models,"This skill enables Claude to construct and evaluate classification models using provided datasets or specifications. It leverages the classification-model-builder plugin to automate model creation, op",,backups/plugin-enhancements/plugin-backups/classification-model-builder_20251019_192232/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2629,,
CCPI,building-classification-models,Building Classification Models,"This skill enables Claude to construct and evaluate classification models using provided datasets or specifications. It leverages the classification-model-builder plugin to automate model creation, op",,backups/plugin-enhancements/plugin-backups/classification-model-builder_20251020_025141/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2629,,
CCPI,optimizing-cloud-costs,Optimizing Cloud Costs,"This skill enables Claude to analyze and optimize cloud costs. It identifies areas for potential savings, generates cost reports, and suggests configuration changes to reduce expenses. Use this skill ",,backups/plugin-enhancements/plugin-backups/cloud-cost-optimizer_20251020_064608/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2406,,
CCPI,running-clustering-algorithms,Running Clustering Algorithms,"This skill enables Claude to execute clustering algorithms on datasets. It is used when the user requests to perform clustering, identify groups within data, or analyze data structure. The skill suppo",,backups/plugin-enhancements/plugin-backups/clustering-algorithm-runner_20251019_194426/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2810,,
CCPI,running-clustering-algorithms,Running Clustering Algorithms,"This skill enables Claude to execute clustering algorithms on datasets. It is used when the user requests to perform clustering, identify groups within data, or analyze data structure. The skill suppo",,backups/plugin-enhancements/plugin-backups/clustering-algorithm-runner_20251020_030331/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2810,,
CCPI,checking-infrastructure-compliance,Checking Infrastructure Compliance,"This skill allows Claude to check infrastructure compliance against industry standards such as SOC2, HIPAA, and PCI-DSS. It analyzes existing infrastructure configurations and reports on potential com",,backups/plugin-enhancements/plugin-backups/compliance-checker_20251020_064955/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2185,,
CCPI,generating-compliance-reports,Generating Compliance Reports,This skill enables Claude to generate compliance reports based on various security standards and frameworks. It leverages the compliance-report-generator plugin to automate the report creation process,,backups/plugin-enhancements/plugin-backups/compliance-report-generator_20251019_143343/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2467,,
CCPI,generating-compliance-reports,Generating Compliance Reports,This skill enables Claude to generate compliance reports based on various security standards and frameworks. It leverages the compliance-report-generator plugin to automate the report creation process,,backups/plugin-enhancements/plugin-backups/compliance-report-generator_20251020_001904/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2467,,
CCPI,processing-computer-vision-tasks,Processing Computer Vision Tasks,"This skill enables Claude to process and analyze images using computer vision techniques. It's used to perform tasks such as object detection, image classification, and image segmentation. Use this sk",,backups/plugin-enhancements/plugin-backups/computer-vision-processor_20251019_184631/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2357,,
CCPI,processing-computer-vision-tasks,Processing Computer Vision Tasks,"This skill enables Claude to process and analyze images using computer vision techniques. It's used to perform tasks such as object detection, image classification, and image segmentation. Use this sk",,backups/plugin-enhancements/plugin-backups/computer-vision-processor_20251020_023234/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2357,,
CCPI,managing-container-registries,Managing Container Registries,"This skill enables Claude to manage container registries, including ECR, GCR, and Harbor. It should be used when the user needs to create, configure, or manage container image registries. It helps gen",,backups/plugin-enhancements/plugin-backups/container-registry-manager_20251020_062906/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2318,,
CCPI,scanning-container-security,Scanning Container Security,This skill enables Claude to scan container images and running containers for vulnerabilities using tools like Trivy and Snyk. It identifies potential security risks in container environments. Use thi,,backups/plugin-enhancements/plugin-backups/container-security-scanner_20251020_061950/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2260,,
CCPI,validating-api-contracts,Validating API Contracts,"This skill validates API contracts using consumer-driven testing and OpenAPI validation. It leverages Pact for consumer-driven contract testing, ensuring that API providers adhere to the expectations ",,backups/plugin-enhancements/plugin-backups/contract-test-validator_20251019_145203/skills/skill-adapter/SKILL.md,BACKUP,,Yes,1845,,
CCPI,validating-api-contracts,Validating API Contracts,"This skill validates API contracts using consumer-driven testing and OpenAPI validation. It leverages Pact for consumer-driven contract testing, ensuring that API providers adhere to the expectations ",,backups/plugin-enhancements/plugin-backups/contract-test-validator_20251020_002856/skills/skill-adapter/SKILL.md,BACKUP,,Yes,1845,,
CCPI,validating-cors-policies,Validating CORS Policies,This skill enables Claude to validate Cross-Origin Resource Sharing (CORS) policies. It uses the cors-policy-validator plugin to analyze CORS configurations and identify potential security vulnerabili,,backups/plugin-enhancements/plugin-backups/cors-policy-validator_20251019_135418/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2371,,
CCPI,validating-cors-policies,Validating CORS Policies,This skill enables Claude to validate Cross-Origin Resource Sharing (CORS) policies. It uses the cors-policy-validator plugin to analyze CORS configurations and identify potential security vulnerabili,,backups/plugin-enhancements/plugin-backups/cors-policy-validator_20251019_235759/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2371,,
CCPI,monitoring-cpu-usage,Monitoring CPU Usage,"This skill enables Claude to monitor and analyze CPU usage patterns within applications. It helps identify CPU hotspots, analyze algorithmic complexity, and detect blocking operations. Use this skill ",,backups/plugin-enhancements/plugin-backups/cpu-usage-monitor_20251020_073602/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2410,,
CCPI,validating-csrf-protection,Validating CSRF Protection,"This skill helps to identify Cross-Site Request Forgery (CSRF) vulnerabilities in web applications. It validates the implementation of CSRF protection mechanisms, such as synchronizer tokens, double-s",,backups/plugin-enhancements/plugin-backups/csrf-protection-validator_20251019_123105/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2383,,
CCPI,validating-csrf-protection,Validating CSRF Protection,"This skill helps to identify Cross-Site Request Forgery (CSRF) vulnerabilities in web applications. It validates the implementation of CSRF protection mechanisms, such as synchronizer tokens, double-s",,backups/plugin-enhancements/plugin-backups/csrf-protection-validator_20251019_133228/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2383,,
CCPI,validating-csrf-protection,Validating CSRF Protection,"This skill helps to identify Cross-Site Request Forgery (CSRF) vulnerabilities in web applications. It validates the implementation of CSRF protection mechanisms, such as synchronizer tokens, double-s",,backups/plugin-enhancements/plugin-backups/csrf-protection-validator_20251019_234618/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2383,,
CCPI,preprocessing-data-with-automated-pipelines,Preprocessing Data with Automated Pipelines,"This skill empowers Claude to preprocess and clean data using automated pipelines. It is designed to streamline data preparation for machine learning tasks, implementing best practices for data valida",,backups/plugin-enhancements/plugin-backups/data-preprocessing-pipeline_20251019_185330/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2878,,
CCPI,preprocessing-data-with-automated-pipelines,Preprocessing Data with Automated Pipelines,"This skill empowers Claude to preprocess and clean data using automated pipelines. It is designed to streamline data preparation for machine learning tasks, implementing best practices for data valida",,backups/plugin-enhancements/plugin-backups/data-preprocessing-pipeline_20251020_023617/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2878,,
CCPI,scanning-for-data-privacy-issues,Scanning for Data Privacy Issues,"This skill enables Claude to automatically scan code and configuration files for potential data privacy vulnerabilities using the data-privacy-scanner plugin. It identifies sensitive data exposure, co",,backups/plugin-enhancements/plugin-backups/data-privacy-scanner_20251019_140458/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2412,,
CCPI,scanning-for-data-privacy-issues,Scanning for Data Privacy Issues,"This skill enables Claude to automatically scan code and configuration files for potential data privacy vulnerabilities using the data-privacy-scanner plugin. It identifies sensitive data exposure, co",,backups/plugin-enhancements/plugin-backups/data-privacy-scanner_20251020_000341/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2412,,
CCPI,generating-database-seed-data,Generating Database Seed Data,"This skill enables Claude to generate realistic test data and database seed scripts for development and testing environments. It uses Faker libraries to create realistic data, maintains relational int",,backups/plugin-enhancements/plugin-backups/data-seeder-generator_20251020_055101/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2642,,
CCPI,validating-database-integrity,Validating Database Integrity,"This skill utilizes the data-validation-engine plugin to ensure database integrity. It automatically validates data types, ranges, formats, referential integrity, and business rules. Use this skill wh",,backups/plugin-enhancements/plugin-backups/data-validation-engine_20251020_054714/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2622,,
CCPI,creating-data-visualizations,Creating Data Visualizations,"This skill enables Claude to generate data visualizations, plots, charts, and graphs from provided data. It analyzes the data, selects the most appropriate visualization type, and creates a visually a",,backups/plugin-enhancements/plugin-backups/data-visualization-creator_20251019_190508/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2048,,
CCPI,creating-data-visualizations,Creating Data Visualizations,"This skill enables Claude to generate data visualizations, plots, charts, and graphs from provided data. It analyzes the data, selects the most appropriate visualization type, and creates a visually a",,backups/plugin-enhancements/plugin-backups/data-visualization-creator_20251020_024235/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2048,,
CCPI,archiving-databases,Archiving Databases,"This skill automates database archival processes. It helps reduce primary database size by moving historical records to archive tables or cold storage solutions like S3, Azure Blob, or GCS. The plugin",,backups/plugin-enhancements/plugin-backups/database-archival-system_20251020_061422/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2512,,
CCPI,implementing-database-audit-logging,Implementing Database Audit Logging,"This skill helps implement database audit logging for tracking changes and ensuring compliance. It is triggered when the user requests to ""implement database audit logging"", ""add audit trails"", ""track",,backups/plugin-enhancements/plugin-backups/database-audit-logger_20251020_060651/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2425,,
CCPI,automating-database-backups,Automating Database Backups,"This skill automates database backups using the database-backup-automator plugin. It creates scripts for scheduled backups, compression, encryption, and restore procedures across PostgreSQL, MySQL, Mo",,backups/plugin-enhancements/plugin-backups/database-backup-automator_20251020_053712/skills/skill-adapter/SKILL.md,BACKUP,,Yes,1864,,
CCPI,implementing-database-caching,Implementing Database Caching,"This skill enables Claude to implement multi-tier database caching solutions. It is triggered when the user requests database caching, performance improvements, or reduced database load. The skill uti",,backups/plugin-enhancements/plugin-backups/database-cache-layer_20251020_055636/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2214,,
CCPI,detecting-database-deadlocks,Detecting Database Deadlocks,"This skill uses the database-deadlock-detector plugin to detect, analyze, and prevent database deadlocks. It monitors database lock contention, analyzes transaction patterns, and suggests resolution s",,backups/plugin-enhancements/plugin-backups/database-deadlock-detector_20251020_060502/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2275,,
CCPI,comparing-database-schemas,Comparing Database Schemas,"This skill leverages the database-diff-tool plugin to compare database schemas, generate migration scripts, and provide rollback procedures. It is triggered when the user requests database schema comp",,backups/plugin-enhancements/plugin-backups/database-diff-tool_20251020_060024/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2820,,
CCPI,generating-database-documentation,Generating Database Documentation,This skill enables Claude to automatically generate comprehensive documentation for existing database schemas using the database-documentation-gen plugin. It is triggered when the user requests databa,,backups/plugin-enhancements/plugin-backups/database-documentation-gen_20251020_055252/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2515,,
CCPI,monitoring-database-health,Monitoring Database Health,"This skill enables Claude to monitor database health using real-time metrics, predictive alerts, and automated remediation. It's designed for production-grade database health monitoring for PostgreSQL",,backups/plugin-enhancements/plugin-backups/database-health-monitor_20251020_054050/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2433,,
CCPI,analyzing-database-indexes,Analyzing Database Indexes,This skill uses the database-index-advisor plugin to analyze query patterns and recommend optimal database indexes. It identifies missing indexes to improve query performance and unused indexes that c,,backups/plugin-enhancements/plugin-backups/database-index-advisor_20251020_060213/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2278,,
CCPI,managing-database-migrations,Managing Database Migrations,"This skill enables Claude to manage database schema changes through version-controlled migrations. It is activated when the user requests to create, apply, or rollback database migrations. The skill s",,backups/plugin-enhancements/plugin-backups/database-migration-manager_20251020_054521/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2077,,
CCPI,managing-database-partitions,Managing Database Partitions,"This skill enables Claude to design, implement, and manage table partitioning strategies for large databases. It is triggered when the user needs to optimize query performance, manage time-series data",,backups/plugin-enhancements/plugin-backups/database-partition-manager_20251020_053900/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2682,,
CCPI,managing-database-recovery,Managing Database Recovery,"This skill manages database recovery operations using the database-recovery-manager plugin. It enables disaster recovery, point-in-time recovery (PITR), and automated failover strategies for productio",,backups/plugin-enhancements/plugin-backups/database-recovery-manager_20251020_061227/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2335,,
CCPI,managing-database-replication,Managing Database Replication,"This skill enables Claude to manage database replication, failover, and high availability configurations using the database-replication-manager plugin. It is designed to assist with tasks such as sett",,backups/plugin-enhancements/plugin-backups/database-replication-manager_20251020_061617/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2603,,
CCPI,designing-database-schemas,Designing Database Schemas,"This skill enables Claude to design and visualize database schemas. It leverages normalization guidance (1NF through BCNF), relationship mapping, and ERD generation to create efficient and well-struct",,backups/plugin-enhancements/plugin-backups/database-schema-designer_20251020_055834/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2827,,
CCPI,scanning-database-security,Scanning Database Security,"This skill enables Claude to perform comprehensive database security scans using the database-security-scanner plugin. It is triggered when the user requests a security assessment of a database, inclu",,backups/plugin-enhancements/plugin-backups/database-security-scanner_20251020_053104/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2438,,
CCPI,managing-database-sharding,Managing Database Sharding,This skill assists with managing database sharding strategies. It is activated when the user needs to implement horizontal database sharding to scale beyond single-server limitations. The skill suppor,,backups/plugin-enhancements/plugin-backups/database-sharding-manager_20251020_061029/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2567,,
CCPI,managing-database-testing,Managing Database Testing,"This skill manages database testing by generating test data, wrapping tests in transactions, and validating database schemas. It is used to create robust and reliable database interactions. Claude use",,backups/plugin-enhancements/plugin-backups/database-test-manager_20251019_144422/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2431,,
CCPI,managing-database-testing,Managing Database Testing,"This skill manages database testing by generating test data, wrapping tests in transactions, and validating database schemas. It is used to create robust and reliable database interactions. Claude use",,backups/plugin-enhancements/plugin-backups/database-test-manager_20251020_002431/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2431,,
CCPI,monitoring-database-transactions,Monitoring Database Transactions,"This skill enables Claude to monitor database transactions for performance and lock issues using the database-transaction-monitor plugin. It is triggered when the user requests transaction monitoring,",,backups/plugin-enhancements/plugin-backups/database-transaction-monitor_20251020_054256/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2157,,
CCPI,splitting-datasets,Splitting Datasets,"This skill enables Claude to split datasets into training, validation, and testing sets. It is useful when preparing data for machine learning model development. Use this skill when the user requests ",,backups/plugin-enhancements/plugin-backups/dataset-splitter_20251019_191203/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2147,,
CCPI,splitting-datasets,Splitting Datasets,"This skill enables Claude to split datasets into training, validation, and testing sets. It is useful when preparing data for machine learning model development. Use this skill when the user requests ",,backups/plugin-enhancements/plugin-backups/dataset-splitter_20251020_024618/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2147,,
CCPI,optimizing-deep-learning-models,Optimizing Deep Learning Models,"This skill optimizes deep learning models using various techniques. It is triggered when the user requests improvements to model performance, such as increasing accuracy, reducing training time, or mi",,backups/plugin-enhancements/plugin-backups/deep-learning-optimizer_20251019_182110/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2617,,
CCPI,optimizing-deep-learning-models,Optimizing Deep Learning Models,"This skill optimizes deep learning models using various techniques. It is triggered when the user requests improvements to model performance, such as increasing accuracy, reducing training time, or mi",,backups/plugin-enhancements/plugin-backups/deep-learning-optimizer_20251020_021913/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2617,,
CCPI,analyzing-dependencies,Analyzing Dependencies,"This skill analyzes project dependencies for security vulnerabilities, outdated packages, and license compliance issues. It helps identify potential risks in your project's dependencies using the depe",,backups/plugin-enhancements/plugin-backups/dependency-checker_20251019_121631/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2818,,
