Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
retellai-prod-checklist,"DevOps engineers, Release managers, SREs","Execute production deployment checklist including pre-flight checks, agent testing, and rollback procedures","retell production, deploy retell, retell go-live, retell launch checklist","Claude Code skill; Retell AI platform; local/cloud development","Deployed agents, health checks passing, monitoring active, rollback procedure documented","Zero-downtime deployments, reduced production incidents","100% deployment success rate with instant rollback capability","true","operations","plugins/saas-packs/retellai-pack/skills/retellai-prod-checklist/","Read, Bash(curl:*), Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-upgrade-migration,"Tech leads, Platform engineers, Senior developers","Analyze, plan, and execute Retell AI SDK upgrades with breaking change detection and rollback procedures","upgrade retell, retell migration, retell breaking changes, update retell SDK","Claude Code skill; Retell AI platform; local/cloud development","Updated SDK version, fixed breaking changes, passing test suite, documented rollback procedure","Smooth version transitions, reduced upgrade-related incidents","Complete SDK upgrades with zero production impact","true","operations","plugins/saas-packs/retellai-pack/skills/retellai-upgrade-migration/","Read, Write, Edit, Bash(npm:*), Bash(git:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-ci-integration,"DevOps engineers, Platform engineers, Release managers","Configure Retell AI CI/CD integration with GitHub Actions, automated agent testing, and release workflows","retell CI, retell GitHub Actions, retell automated tests, CI retell","Claude Code skill; Retell AI platform; local/cloud development","Automated test pipeline, PR checks configured, agent validation, release workflow ready","Faster release cycles, improved code quality, reduced manual testing","100% automated testing coverage for Retell AI integrations","true","cicd","plugins/saas-packs/retellai-pack/skills/retellai-ci-integration/","Read, Write, Edit, Bash(gh:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-webhook-server,"Backend developers, Integration engineers, DevOps engineers","Deploy webhook servers for Retell AI events including call status, transcriptions, and agent responses","retell webhooks, deploy retell webhook, retell webhook server, retell events","Claude Code skill; Retell AI platform; local/cloud development","Webhook server deployed, signature validation active, event handlers implemented","Reliable event-driven integrations, real-time call data processing","100% webhook delivery with <1s processing latency","true","cicd","plugins/saas-packs/retellai-pack/skills/retellai-webhook-server/","Read, Write, Edit, Bash(npm:*), Bash(docker:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-webhooks-events,"Backend developers, Integration engineers","Implement webhook signature validation, event handling, and replay protection for Retell AI notifications","retell webhook events, retell event handling, handle retell events, retell notifications","Claude Code skill; Retell AI platform; local/cloud development","Secure webhook endpoint, signature validation, event handlers, replay attack protection","Reliable event-driven integrations, secure webhook processing","100% webhook signature verification, zero duplicate event processing","true","cicd","plugins/saas-packs/retellai-pack/skills/retellai-webhooks-events/","Read, Write, Edit, Bash(curl:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-call-analytics,"Data engineers, Product managers, Business analysts","Implement call analytics with transcription analysis, sentiment scoring, and conversation metrics","retell analytics, retell call data, retell metrics, retell transcription analysis","Claude Code skill; Retell AI platform; local/cloud development","Analytics pipeline configured, transcription processing active, dashboards deployed","Data-driven optimization, improved agent performance, business insights","Complete call analytics within 24 hours of call completion","true","cicd","plugins/saas-packs/retellai-pack/skills/retellai-call-analytics/","Read, Write, Edit, Bash(python:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-cost-tuning,"Platform engineers, FinOps engineers, Engineering managers","Optimize Retell AI costs through voice selection, call duration management, and usage monitoring with budget alerts","retell cost, retell billing, reduce retell costs, retell pricing, retell budget","Claude Code skill; Retell AI platform; local/cloud development","Optimized voice selection, usage monitoring, budget alerts, cost reduction strategies applied","Reduced cloud costs, predictable billing, optimized resource usage","30% cost reduction through voice optimization and call efficiency","true","cicd","plugins/saas-packs/retellai-pack/skills/retellai-cost-tuning/","Read, Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-reference-architecture,"Architects, Tech leads, Senior developers","Implement production-ready reference architecture with layered structure, agent management, and health checks","retell architecture, retell best practices, retell project structure, how to organize retell","Claude Code skill; Retell AI platform; local/cloud development","Structured project layout, agent management wrapper, error boundary, health checks configured","Maintainable codebase, faster onboarding, consistent patterns","Team adoption of reference architecture within 1 sprint","true","cicd","plugins/saas-packs/retellai-pack/skills/retellai-reference-architecture/","Read, Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-multi-env-setup,"DevOps engineers, Platform engineers, Cloud architects","Configure Retell AI across development, staging, and production environments with agent versioning","retell environments, retell staging, retell dev prod, retell environment setup","Claude Code skill; Retell AI platform; local/cloud development","Multi-environment config structure, environment detection, secure secret management, production safeguards","Environment isolation, reduced prod incidents, safer deployments","Zero cross-environment configuration incidents","true","enterprise","plugins/saas-packs/retellai-pack/skills/retellai-multi-env-setup/","Read, Write, Edit, Bash(aws:*), Bash(gcloud:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-observability,"SREs, DevOps engineers, Platform engineers","Set up comprehensive observability with call metrics, latency tracking, and alerting rules","retell monitoring, retell metrics, retell observability, monitor retell, retell alerts","Claude Code skill; Retell AI platform; local/cloud development","Metrics collection enabled, call tracing configured, structured logging, alert rules deployed","Faster incident detection, improved MTTR, proactive issue resolution","<5 minute detection time for Retell AI-related incidents","true","enterprise","plugins/saas-packs/retellai-pack/skills/retellai-observability/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-incident-runbook,"SREs, On-call engineers, DevOps engineers","Execute rapid incident response with triage, mitigation, communication templates, and postmortem procedures","retell incident, retell outage, retell down, retell on-call, retell emergency","Claude Code skill; Retell AI platform; local/cloud development","Issue identified and categorized, remediation applied, stakeholders notified, evidence collected","Reduced MTTR, consistent incident response, improved post-incident learning","<15 minute MTTR for P1 Retell AI incidents","true","enterprise","plugins/saas-packs/retellai-pack/skills/retellai-incident-runbook/","Read, Grep, Bash(curl:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-compliance-recording,"Security engineers, Compliance officers, Legal teams","Implement compliant call recording with consent management, retention policies, and audit trails","retell recording compliance, retell TCPA, retell consent, retell call recording laws","Claude Code skill; Retell AI platform; local/cloud development","Consent management implemented, retention policies enforced, audit trail enabled","Regulatory compliance, reduced legal risk, audit readiness","100% compliant call recording with full audit trail","true","enterprise","plugins/saas-packs/retellai-pack/skills/retellai-compliance-recording/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-enterprise-sso,"Security architects, Identity engineers, Platform administrators","Configure enterprise SSO and organization management for Retell AI team access","retell SSO, retell enterprise, retell team access, retell SAML","Claude Code skill; Retell AI platform; local/cloud development","SSO integration configured, team roles defined, audit trail enabled","Enterprise security compliance, centralized access control, audit capability","Zero unauthorized access incidents, complete audit trail","true","enterprise","plugins/saas-packs/retellai-pack/skills/retellai-enterprise-sso/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-custom-llm,"ML engineers, Voice AI developers, Platform architects","Integrate custom LLM backends with Retell AI for specialized conversation handling","retell custom LLM, retell bring your own LLM, retell LLM integration, retell custom model","Claude Code skill; Retell AI platform; local/cloud development","Custom LLM endpoint integrated, response format validated, fallback handling configured","Differentiated AI capabilities, competitive advantage, specialized use cases","Custom LLM integration with <500ms additional latency","true","enterprise","plugins/saas-packs/retellai-pack/skills/retellai-custom-llm/","Read, Write, Edit, Bash(curl:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-advanced-troubleshooting,"Senior SREs, Staff engineers, Support escalation engineers","Apply advanced debugging for hard-to-diagnose issues including audio quality, latency, and transcription accuracy","retell hard bug, retell mystery error, retell audio issues, difficult retell issue","Claude Code skill; Retell AI platform; local/cloud development","Comprehensive debug bundle, failure layer identified, minimal reproduction, support escalation submitted","Resolved edge-case issues, improved system understanding, better support collaboration","Successfully diagnose 95% of escalated issues","true","advanced","plugins/saas-packs/retellai-pack/skills/retellai-advanced-troubleshooting/","Read, Grep, Bash(curl:*), Bash(ffprobe:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-load-scale,"Performance engineers, SREs, Capacity planners","Implement load testing for concurrent calls, auto-scaling, and capacity planning strategies","retell load test, retell scale, retell concurrent calls, retell capacity, retell benchmark","Claude Code skill; Retell AI platform; local/cloud development","Load test script created, scaling configured, benchmark results documented, capacity recommendations defined","Predictable performance, automated scaling, cost-efficient capacity","Handle 10x concurrent call surge with <10% latency degradation","true","advanced","plugins/saas-packs/retellai-pack/skills/retellai-load-scale/","Read, Write, Edit, Bash(k6:*), Bash(artillery:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-conversation-design,"Conversation designers, UX designers, Product managers","Design effective voice conversation flows with intent handling, error recovery, and natural dialogue","retell conversation design, retell dialogue flow, retell voice UX, retell conversation patterns","Claude Code skill; Retell AI platform; local/cloud development","Conversation flow documented, intent handling configured, error recovery paths defined","Improved user satisfaction, reduced call abandonment, higher task completion","80% first-call resolution rate with designed conversation flows","true","advanced","plugins/saas-packs/retellai-pack/skills/retellai-conversation-design/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-realtime-streaming,"Backend developers, Performance engineers, ML engineers","Implement real-time audio streaming with WebSocket handling, buffer management, and latency optimization","retell streaming, retell WebSocket, retell real-time audio, retell low latency","Claude Code skill; Retell AI platform; local/cloud development","WebSocket connection stable, audio buffering optimized, latency within targets","Ultra-low latency voice experience, natural conversation flow","<300ms end-to-end latency for voice responses","true","advanced","plugins/saas-packs/retellai-pack/skills/retellai-realtime-streaming/","Read, Write, Edit, Bash(wscat:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-crm-integration,"Integration engineers, Sales ops, Backend developers","Integrate Retell AI with CRM systems like Salesforce, HubSpot, and Pipedrive for call logging and contact sync","retell CRM, retell Salesforce, retell HubSpot, retell integration, retell call logging","Claude Code skill; Retell AI platform; local/cloud development","CRM integration active, call logs syncing, contact data flowing, automation triggers configured","Unified customer data, improved sales efficiency, automated call tracking","100% call data synced to CRM within 5 minutes of call completion","true","advanced","plugins/saas-packs/retellai-pack/skills/retellai-crm-integration/","Read, Write, Edit, Bash(curl:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
retellai-known-pitfalls,"All Retell AI developers, Code reviewers, Tech leads","Identify and avoid 10 common anti-patterns including blocking calls, poor error handling, and voice misuse","retell mistakes, retell anti-patterns, retell pitfalls, retell what not to do","Claude Code skill; Retell AI platform; local/cloud development","Anti-patterns identified, fixes prioritized and implemented, prevention measures in place","Reduced production incidents, improved code quality, faster code reviews","Eliminate 100% of common pitfalls in new code","true","advanced","plugins/saas-packs/retellai-pack/skills/retellai-known-pitfalls/","Read, Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
