id,path,entity_type,checks_json,fields_read,scoring_behavior,cli_flags,output_format
11,scripts/audit-plugin-manifests.sh,plugin,"[""$1"", ""\n        critical_violations+=("", "")\n        has_critical=true\n        ((plugins_with_violations++))\n        continue\n    fi\n\n    # Check REQUIRED fields\n\n    # 1. Check name field\n    name=$(jq -r "", ""name"", ""name"", ""version"", ""version"", ""description"", ""description"", ""\n            minor_warnings+=("", ""\n            minor_warnings+=("", "")\n            has_minor=true\n        fi\n    fi\n\n    # Check homepage\n    homepage=$(jq -r "", ""\n            minor_warnings+=("", "")\n            has_minor=true\n        fi\n    fi\n\n    # Check repository\n    repository=$(jq -r "", ""\n            minor_warnings+=("", "")\n            has_minor=true\n        fi\n    fi\n\n    # Check license\n    license=$(jq -r "", ""\n            minor_warnings+=("", "")\n            has_major=true\n        else\n            echo "", "")\n            has_major=true\n        else\n            echo "", "")\n                has_major=true\n            else\n                echo "", "")\n                has_major=true\n            else\n                echo "", ""STATUS: \u26a0 COMPLIANT WITH WARNINGS"", ""\necho "", ""MINOR WARNINGS (${#minor_warnings[@]}):"", ""${minor_warnings[@]}"", ""\n    done\nfi\n\necho ""]",[],pass/fail,[],text
12,scripts/audit-run-full.sh,unknown,[],[],pass/fail,[],text
13,scripts/audit-skills-quality.py,skill,"["")\n        score -= 15\n\n    # Check for trigger phrases\n    trigger_patterns = ["", "")\n        score -= 15\n\n    # Check for vague terms\n    vague_terms = ["", ""name"", ""name"", ""description""]",[],100-point scale,[],text
14,scripts/audit-content-quality.py,skill-content,[],[],quality metrics,"[""json"", ""severity"", ""top"", ""summary-only"", ""category"", ""json"", ""severity"", ""top"", ""summary-only"", ""category"", ""verbose""]",json
15,scripts/run-verification-pipeline.mjs,unknown,[],[],pass/fail,"[""json"", ""skills-only"", ""dry-run"", ""dry-run"", ""json"", ""skills-only""]",json
16,marketplace/scripts/validate-routes.mjs,routes,"[""plugin page routes exist""]",[],pass/fail,[],text
17,marketplace/scripts/validate-official-links.mjs,links,"[""internal links resolve"", ""skill-to-plugin links valid""]",[],pass/fail,[],text
18,marketplace/scripts/validate-links.mjs,links,"[""internal links resolve"", ""skill-to-plugin links valid""]",[],pass/fail,[],text
19,marketplace/scripts/validate-playbook-routes.mjs,routes,"[""plugin page routes exist""]",[],pass/fail,"[""dist"", ""dist"", ""dist""]",text
20,marketplace/scripts/validate-cowork-downloads.mjs,cowork,[],[],pass/fail,[],text
21,marketplace/scripts/validate-internal-links.mjs,links,"[""internal links resolve"", ""skill-to-plugin links valid""]",[],pass/fail,"[""dist""]",text
