id,field_name,source,data_type,found_in_count,found_in_total,value_patterns,example,validated_by,notes
14,description,plugin.json,string,349,349,"A 7-part brand strategy framework for building com, ADK software engineer for creating production-read, AI ethics and fairness validation, AI-powered executive assistant skills that fully r, Aggregate and analyze crypto news from multiple so",A 7-part brand strategy framework for building comprehensive brand foundations - the same methodolog,validate-all-plugins.sh / validate-plugin.js,
15,homepage,plugin.json,string,20,349,"https://ahmedkhaledmohamed.github.io/PM-AI-Partner, https://builtbyzac.com/memory-kit.html, https://claudecodeplugins.io/, https://dr.eamer.dev/geepers/, https://github.com/JackReis/neurodivergent-visual-",https://ahmedkhaledmohamed.github.io/PM-AI-Partner-Framework/,validate-all-plugins.sh / validate-plugin.js,
16,keywords,plugin.json,array,347,349,"['adk', 'software-engineer', 'agent-development', , ['ai-sdk', 'agents', 'multi-agent', 'orchestration, ['anomaly', 'outliers', 'detection', 'isolation', , ['api', 'documentation', 'openapi', 'swagger', 'do, ['api', 'rest', 'generator', 'openapi', 'swagger',","['adk', 'software-engineer', 'agent-development', 'vertex-ai']",validate-all-plugins.sh / validate-plugin.js,
17,license,plugin.json,string,346,349,"Apache-2.0, MIT",Apache-2.0,validate-all-plugins.sh / validate-plugin.js,
18,name,plugin.json,string,349,349,"ai-ethics-validator, ai-sdk-agents, anomaly-detection-system, api-authentication-builder, api-batch-processor",ai-ethics-validator,validate-all-plugins.sh / validate-plugin.js,
19,repository,plugin.json,object/string,302,349,"https://github.com/JackReis/neurodivergent-visual-, https://github.com/ahmedkhaledmohamed/PM-AI-Partne, https://github.com/b12io/b12-claude-plugin, https://github.com/bayramannakov/claude-reflect, https://github.com/damienlaine/agentic-sprint",https://github.com/JackReis/neurodivergent-visual-org,validate-all-plugins.sh / validate-plugin.js,
20,version,plugin.json,string,349,349,"0.1.0, 0.8.0, 1.0.0, 1.4.1, 2.0.0",0.1.0,validate-all-plugins.sh / validate-plugin.js,
21,has_readme,plugin directory,boolean,349,349,"true: 349, false: 0",True,none,README.md presence
22,has_package_json,plugin directory,boolean,49,349,"true: 49, false: 300",True,none,package.json presence
23,has_mcp_json,plugin directory,boolean,8,349,"true: 8, false: 341",True,none,.mcp.json presence
24,has_src_dir,plugin directory,boolean,4,349,"true: 4, false: 345",True,none,src/ directory presence
25,has_commands_dir,plugin directory,boolean,223,349,"true: 223, false: 126",True,none,commands/ directory presence
26,has_agents_dir,plugin directory,boolean,37,349,"true: 37, false: 312",True,none,agents/ directory presence
27,has_skills_dir,plugin directory,boolean,342,349,"true: 342, false: 7",True,none,skills/ directory presence
28,line_count,SKILL.md content analysis,integer,1426,1426,"range: 52-771, avg: 137.4",non-zero in 1426 skills,none,"derived measurement, not a metadata field"
29,word_count,SKILL.md content analysis,integer,1426,1426,"range: 181-5584, avg: 631.7",non-zero in 1426 skills,none,"derived measurement, not a metadata field"
30,code_block_count,SKILL.md content analysis,integer,1426,1426,"range: 0-25, avg: 3.3",non-zero in 841 skills,none,"derived measurement, not a metadata field"
31,comment_only_code_block_count,SKILL.md content analysis,integer,1426,1426,"range: 0-5, avg: 0.1",non-zero in 57 skills,none,"derived measurement, not a metadata field"
32,import_code_block_count,SKILL.md content analysis,integer,1426,1426,"range: 0-10, avg: 0.8",non-zero in 454 skills,none,"derived measurement, not a metadata field"
33,url_code_block_count,SKILL.md content analysis,integer,1426,1426,"range: 0-8, avg: 0.5",non-zero in 362 skills,none,"derived measurement, not a metadata field"
34,real_url_count,SKILL.md content analysis,integer,1426,1426,"range: 0-19, avg: 3.3",non-zero in 1294 skills,none,"derived measurement, not a metadata field"
35,real_import_count,SKILL.md content analysis,integer,1426,1426,"range: 0-22, avg: 1.2",non-zero in 460 skills,none,"derived measurement, not a metadata field"
36,placeholder_step,SKILL.md content analysis,integer,1426,1426,"range: 0-3, avg: 0.1",non-zero in 38 skills,none,"derived measurement, not a metadata field"
37,placeholder_todo,SKILL.md content analysis,integer,1426,1426,"range: 0-0, avg: 0.0",non-zero in 0 skills,none,"derived measurement, not a metadata field"
38,placeholder_implementation,SKILL.md content analysis,integer,1426,1426,"range: 0-1, avg: 0.0",non-zero in 1 skills,none,"derived measurement, not a metadata field"
39,placeholder_add,SKILL.md content analysis,integer,1426,1426,"range: 0-8, avg: 0.0",non-zero in 25 skills,none,"derived measurement, not a metadata field"
40,placeholder_your,SKILL.md content analysis,integer,1426,1426,"range: 0-2, avg: 0.0",non-zero in 17 skills,none,"derived measurement, not a metadata field"
41,placeholder_api_key,SKILL.md content analysis,integer,1426,1426,"range: 0-0, avg: 0.0",non-zero in 0 skills,none,"derived measurement, not a metadata field"
42,placeholder_token,SKILL.md content analysis,integer,1426,1426,"range: 0-1, avg: 0.0",non-zero in 2 skills,none,"derived measurement, not a metadata field"
43,placeholder_api_example,SKILL.md content analysis,integer,1426,1426,"range: 0-3, avg: 0.0",non-zero in 7 skills,none,"derived measurement, not a metadata field"
44,placeholder_example,SKILL.md content analysis,integer,1426,1426,"range: 0-8, avg: 0.1",non-zero in 58 skills,none,"derived measurement, not a metadata field"
45,placeholder_table_error,SKILL.md content analysis,integer,1426,1426,"range: 0-1, avg: 0.0",non-zero in 16 skills,none,"derived measurement, not a metadata field"
46,structure_shape,skill directory,string,1426,1426,12 distinct values,,none,
47,has_references,skill directory,boolean,907,1426,"true: 907, false: 519",True,none,
48,has_scripts,skill directory,boolean,215,1426,"true: 215, false: 1211",True,none,
49,has_assets,skill directory,boolean,173,1426,"true: 173, false: 1253",True,none,
50,file_count,skill directory,integer,1426,1426,"range: 1-40, avg: 3.3",1,none,
51,name_pack,pack directory,string,22,22,22 distinct values,,none,
52,plugin_count_pack,pack directory,integer,22,22,range: 1-43,,none,
53,skill_count_pack,pack directory,integer,22,22,range: 0-1116,,none,
54,file_count_pack,pack directory,integer,22,22,range: 5-5227,,none,
55,has_readme_pack,pack directory,boolean,10,22,"true: 10, false: 12",,none,
56,has_changelog_pack,pack directory,boolean,0,22,"true: 0, false: 22",,none,
57,has_package_json_pack,pack directory,boolean,0,22,"true: 0, false: 22",,none,
58,category_indicator_pack,pack directory,string,22,22,9 distinct values,,none,
59,name,SKILL.md frontmatter (validator spec),string,1426,1426,"kebab-case, 1-64 chars, should match folder name",,validate-skills-schema.py,regex: ^[a-z0-9][a-z0-9-]*[a-z0-9]$
60,description,SKILL.md frontmatter (validator spec),string,1426,1426,"20-1024 chars, should include ""Use when..."" and ""Trigger with..."" (enterprise)",,validate-skills-schema.py,enterprise tier adds trigger phrase requirement
61,allowed-tools,SKILL.md frontmatter (validator spec),string (CSV),1421,1426,"CSV from: Read, Write, Edit, Bash, Glob, Grep, WebFetch, WebSearch, Task, TodoWrite, NotebookEdit, AskUserQuestion, Skill",,validate-skills-schema.py,"unscoped Bash is ERROR in enterprise, WARN in standard"
62,shortcut,commands/*.md frontmatter,string,0,0,"1-4 characters, lowercase letters only",,validate-skills-schema.py,command-only field
63,category,commands/*.md frontmatter,enum,0,0,"git, deployment, security, testing, documentation, database, api, frontend, backend, devops, forecasting, analytics, migration, monitoring, other",,validate-skills-schema.py,command-only field
64,difficulty,commands/*.md frontmatter,enum,0,0,"beginner, intermediate, advanced, expert",,validate-skills-schema.py,command-only field
65,capabilities,agents/*.md frontmatter,array,0,0,array of 2-10 strings,,validate-skills-schema.py,agent-only field
66,expertise_level,agents/*.md frontmatter,enum,0,0,"intermediate, advanced, expert",,validate-skills-schema.py,agent-only field
67,activation_priority,agents/*.md frontmatter,enum,0,0,"low, medium, high, critical",,validate-skills-schema.py,agent-only field
68,maxTurns,agents/*.md frontmatter,integer,0,0,"positive integer, caps agentic loop iterations",,validate-skills-schema.py,"agent-only, v2.1.78+"
69,disallowedTools,agents/*.md frontmatter,array,0,0,array of tool names (denylist),,validate-skills-schema.py,"agent-only, v2.1.78+"
70,enterprise_score,validator output,integer,0,1426,0-100 scale: Progressive Disclosure(30) + Ease of Use(25) + Utility(20) + Spec Compliance(15) + Writing Style(10),,validate-skills-schema.py,derived metric from 100-point rubric
71,grade,validator output,enum,0,1426,"A(90-100), B(80-89), C(70-79), D(60-69), F(<60)",,validate-skills-schema.py,derived from enterprise_score
