id,plugin_path,plugin_json_path,pack_name,has_readme,has_package_json,has_mcp_json,has_src_dir,has_commands_dir,has_agents_dir,has_skills_dir,file_count
49,plugins/api-development/api-migration-tool,plugins/api-development/api-migration-tool/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,22
50,plugins/api-development/api-mock-server,plugins/api-development/api-mock-server/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,20
51,plugins/api-development/api-monitoring-dashboard,plugins/api-development/api-monitoring-dashboard/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,21
52,plugins/api-development/api-rate-limiter,plugins/api-development/api-rate-limiter/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,20
53,plugins/api-development/api-request-logger,plugins/api-development/api-request-logger/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,20
54,plugins/api-development/api-response-validator,plugins/api-development/api-response-validator/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,20
55,plugins/api-development/api-schema-validator,plugins/api-development/api-schema-validator/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,19
56,plugins/api-development/api-sdk-generator,plugins/api-development/api-sdk-generator/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,18
57,plugins/api-development/api-security-scanner,plugins/api-development/api-security-scanner/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,21
58,plugins/api-development/api-throttling-manager,plugins/api-development/api-throttling-manager/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,21
59,plugins/api-development/api-versioning-manager,plugins/api-development/api-versioning-manager/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,22
60,plugins/api-development/graphql-server-builder,plugins/api-development/graphql-server-builder/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,18
61,plugins/api-development/grpc-service-generator,plugins/api-development/grpc-service-generator/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,23
62,plugins/api-development/rest-api-generator,plugins/api-development/rest-api-generator/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,21
63,plugins/api-development/webhook-handler-creator,plugins/api-development/webhook-handler-creator/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,21
64,plugins/api-development/websocket-server-builder,plugins/api-development/websocket-server-builder/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,21
65,plugins/automation/mattyp-changelog,plugins/automation/mattyp-changelog/.claude-plugin/plugin.json,automation,1,0,1,0,1,0,1,20
66,plugins/business-tools/brand-strategy-framework,plugins/business-tools/brand-strategy-framework/.claude-plugin/plugin.json,business-tools,1,0,0,0,0,0,1,3
67,plugins/business-tools/excel-analyst-pro,plugins/business-tools/excel-analyst-pro/.claude-plugin/plugin.json,business-tools,1,0,0,0,0,0,1,31
68,plugins/business-tools/executive-assistant-skills,plugins/business-tools/executive-assistant-skills/.claude-plugin/plugin.json,business-tools,1,0,0,0,0,0,1,7
69,plugins/business-tools/wondelai-blue-ocean-strategy,plugins/business-tools/wondelai-blue-ocean-strategy/.claude-plugin/plugin.json,business-tools,1,0,0,0,0,0,1,11
70,plugins/business-tools/wondelai-contagious,plugins/business-tools/wondelai-contagious/.claude-plugin/plugin.json,business-tools,1,0,0,0,0,0,1,13
71,plugins/business-tools/wondelai-cro-methodology,plugins/business-tools/wondelai-cro-methodology/.claude-plugin/plugin.json,business-tools,1,0,0,0,0,0,1,10
72,plugins/business-tools/wondelai-crossing-the-chasm,plugins/business-tools/wondelai-crossing-the-chasm/.claude-plugin/plugin.json,business-tools,1,0,0,0,0,0,1,12
73,plugins/business-tools/wondelai-drive-motivation,plugins/business-tools/wondelai-drive-motivation/.claude-plugin/plugin.json,business-tools,1,0,0,0,0,0,1,11
74,plugins/business-tools/wondelai-hundred-million-offers,plugins/business-tools/wondelai-hundred-million-offers/.claude-plugin/plugin.json,business-tools,1,0,0,0,0,0,1,14
75,plugins/business-tools/wondelai-influence-psychology,plugins/business-tools/wondelai-influence-psychology/.claude-plugin/plugin.json,business-tools,1,0,0,0,0,0,1,14
76,plugins/business-tools/wondelai-jobs-to-be-done,plugins/business-tools/wondelai-jobs-to-be-done/.claude-plugin/plugin.json,business-tools,1,0,0,0,0,0,1,9
77,plugins/business-tools/wondelai-made-to-stick,plugins/business-tools/wondelai-made-to-stick/.claude-plugin/plugin.json,business-tools,1,0,0,0,0,0,1,13
78,plugins/business-tools/wondelai-negotiation,plugins/business-tools/wondelai-negotiation/.claude-plugin/plugin.json,business-tools,1,0,0,0,0,0,1,5
79,plugins/business-tools/wondelai-obviously-awesome,plugins/business-tools/wondelai-obviously-awesome/.claude-plugin/plugin.json,business-tools,1,0,0,0,0,0,1,12
80,plugins/business-tools/wondelai-one-page-marketing,plugins/business-tools/wondelai-one-page-marketing/.claude-plugin/plugin.json,business-tools,1,0,0,0,0,0,1,14
81,plugins/business-tools/wondelai-predictable-revenue,plugins/business-tools/wondelai-predictable-revenue/.claude-plugin/plugin.json,business-tools,1,0,0,0,0,0,1,12
82,plugins/business-tools/wondelai-scorecard-marketing,plugins/business-tools/wondelai-scorecard-marketing/.claude-plugin/plugin.json,business-tools,1,0,0,0,0,0,1,8
83,plugins/business-tools/wondelai-storybrand-messaging,plugins/business-tools/wondelai-storybrand-messaging/.claude-plugin/plugin.json,business-tools,1,0,0,0,0,0,1,10
84,plugins/business-tools/wondelai-traction-eos,plugins/business-tools/wondelai-traction-eos/.claude-plugin/plugin.json,business-tools,1,0,0,0,0,0,1,12
85,plugins/community/b12-claude-plugin,plugins/community/b12-claude-plugin/.claude-plugin/plugin.json,community,1,0,0,0,0,0,1,4
86,plugins/community/claude-never-forgets,plugins/community/claude-never-forgets/.claude-plugin/plugin.json,community,1,0,0,0,1,0,1,16
87,plugins/community/claude-reflect,plugins/community/claude-reflect/.claude-plugin/plugin.json,community,1,0,0,0,1,0,0,13
88,plugins/community/fairdb-ops-manager,plugins/community/fairdb-ops-manager/.claude-plugin/plugin.json,community,1,0,0,0,1,1,1,25
89,plugins/community/gastown,plugins/community/gastown/.claude-plugin/plugin.json,community,1,0,0,0,0,0,1,11
90,plugins/community/geepers-agents,plugins/community/geepers-agents/.claude-plugin/plugin.json,community,1,0,0,0,0,1,0,106
91,plugins/community/jeremy-firebase,plugins/community/jeremy-firebase/.claude-plugin/plugin.json,community,1,0,0,0,0,0,1,18
92,plugins/community/jeremy-firestore,plugins/community/jeremy-firestore/.claude-plugin/plugin.json,community,1,0,0,0,1,1,1,9
93,plugins/community/sprint,plugins/community/sprint/.claude-plugin/plugin.json,community,1,0,0,0,1,1,1,37
94,plugins/community/zai-cli,plugins/community/zai-cli/.claude-plugin/plugin.json,community,1,0,0,0,0,0,1,6
95,plugins/crypto/arbitrage-opportunity-finder,plugins/crypto/arbitrage-opportunity-finder/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,27
96,plugins/crypto/blockchain-explorer-cli,plugins/crypto/blockchain-explorer-cli/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,26
97,plugins/crypto/cross-chain-bridge-monitor,plugins/crypto/cross-chain-bridge-monitor/.claude-plugin/plugin.json,crypto,1,0,0,0,0,1,1,27
98,plugins/crypto/crypto-derivatives-tracker,plugins/crypto/crypto-derivatives-tracker/.claude-plugin/plugin.json,crypto,1,0,0,0,0,1,1,28
99,plugins/crypto/crypto-news-aggregator,plugins/crypto/crypto-news-aggregator/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,27
100,plugins/crypto/crypto-portfolio-tracker,plugins/crypto/crypto-portfolio-tracker/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,27
101,plugins/crypto/crypto-signal-generator,plugins/crypto/crypto-signal-generator/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,23
102,plugins/crypto/crypto-tax-calculator,plugins/crypto/crypto-tax-calculator/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,27
103,plugins/crypto/defi-yield-optimizer,plugins/crypto/defi-yield-optimizer/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,26
104,plugins/crypto/dex-aggregator-router,plugins/crypto/dex-aggregator-router/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,27
105,plugins/crypto/flash-loan-simulator,plugins/crypto/flash-loan-simulator/.claude-plugin/plugin.json,crypto,1,0,0,0,0,1,1,17
106,plugins/crypto/gas-fee-optimizer,plugins/crypto/gas-fee-optimizer/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,26
107,plugins/crypto/liquidity-pool-analyzer,plugins/crypto/liquidity-pool-analyzer/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,26
108,plugins/crypto/market-movers-scanner,plugins/crypto/market-movers-scanner/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,26
109,plugins/crypto/market-price-tracker,plugins/crypto/market-price-tracker/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,26
110,plugins/crypto/market-sentiment-analyzer,plugins/crypto/market-sentiment-analyzer/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,26
111,plugins/crypto/mempool-analyzer,plugins/crypto/mempool-analyzer/.claude-plugin/plugin.json,crypto,1,0,0,0,0,1,1,27
112,plugins/crypto/nft-rarity-analyzer,plugins/crypto/nft-rarity-analyzer/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,26
113,plugins/crypto/on-chain-analytics,plugins/crypto/on-chain-analytics/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,25
114,plugins/crypto/options-flow-analyzer,plugins/crypto/options-flow-analyzer/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,18
115,plugins/crypto/staking-rewards-optimizer,plugins/crypto/staking-rewards-optimizer/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,26
116,plugins/crypto/token-launch-tracker,plugins/crypto/token-launch-tracker/.claude-plugin/plugin.json,crypto,1,0,0,0,0,1,1,26
117,plugins/crypto/trading-strategy-backtester,plugins/crypto/trading-strategy-backtester/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,40
118,plugins/crypto/wallet-portfolio-tracker,plugins/crypto/wallet-portfolio-tracker/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,14
119,plugins/crypto/wallet-security-auditor,plugins/crypto/wallet-security-auditor/.claude-plugin/plugin.json,crypto,1,0,0,0,0,0,1,14
120,plugins/crypto/whale-alert-monitor,plugins/crypto/whale-alert-monitor/.claude-plugin/plugin.json,crypto,1,0,0,0,1,0,1,26
121,plugins/database/data-seeder-generator,plugins/database/data-seeder-generator/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,8
122,plugins/database/data-validation-engine,plugins/database/data-validation-engine/.claude-plugin/plugin.json,database,1,0,0,0,0,1,1,10
123,plugins/database/database-archival-system,plugins/database/database-archival-system/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,9
124,plugins/database/database-audit-logger,plugins/database/database-audit-logger/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,12
125,plugins/database/database-backup-automator,plugins/database/database-backup-automator/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,20
126,plugins/database/database-cache-layer,plugins/database/database-cache-layer/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,9
127,plugins/database/database-connection-pooler,plugins/database/database-connection-pooler/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,8
128,plugins/database/database-deadlock-detector,plugins/database/database-deadlock-detector/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,9
129,plugins/database/database-diff-tool,plugins/database/database-diff-tool/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,9
130,plugins/database/database-documentation-gen,plugins/database/database-documentation-gen/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,11
131,plugins/database/database-health-monitor,plugins/database/database-health-monitor/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,8
132,plugins/database/database-index-advisor,plugins/database/database-index-advisor/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,9
133,plugins/database/database-migration-manager,plugins/database/database-migration-manager/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,8
134,plugins/database/database-partition-manager,plugins/database/database-partition-manager/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,8
135,plugins/database/database-recovery-manager,plugins/database/database-recovery-manager/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,12
136,plugins/database/database-replication-manager,plugins/database/database-replication-manager/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,10
137,plugins/database/database-schema-designer,plugins/database/database-schema-designer/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,8
138,plugins/database/database-security-scanner,plugins/database/database-security-scanner/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,8
139,plugins/database/database-sharding-manager,plugins/database/database-sharding-manager/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,9
140,plugins/database/database-transaction-monitor,plugins/database/database-transaction-monitor/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,9
141,plugins/database/nosql-data-modeler,plugins/database/nosql-data-modeler/.claude-plugin/plugin.json,database,1,0,0,0,0,1,1,11
142,plugins/database/orm-code-generator,plugins/database/orm-code-generator/.claude-plugin/plugin.json,database,1,0,0,0,0,1,1,10
143,plugins/database/query-performance-analyzer,plugins/database/query-performance-analyzer/.claude-plugin/plugin.json,database,1,0,0,0,0,1,1,8
144,plugins/database/sql-query-optimizer,plugins/database/sql-query-optimizer/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,10
145,plugins/database/stored-procedure-generator,plugins/database/stored-procedure-generator/.claude-plugin/plugin.json,database,1,0,0,0,1,0,1,17
146,plugins/design/wondelai-design-everyday-things,plugins/design/wondelai-design-everyday-things/.claude-plugin/plugin.json,design,1,0,0,0,0,0,1,14
147,plugins/design/wondelai-hooked-ux,plugins/design/wondelai-hooked-ux/.claude-plugin/plugin.json,design,1,0,0,0,0,0,1,11
148,plugins/design/wondelai-ios-hig-design,plugins/design/wondelai-ios-hig-design/.claude-plugin/plugin.json,design,1,0,0,0,0,0,1,15
149,plugins/design/wondelai-refactoring-ui,plugins/design/wondelai-refactoring-ui/.claude-plugin/plugin.json,design,1,0,0,0,0,0,1,9
150,plugins/design/wondelai-top-design,plugins/design/wondelai-top-design/.claude-plugin/plugin.json,design,1,0,0,0,0,0,1,9
151,plugins/design/wondelai-ux-heuristics,plugins/design/wondelai-ux-heuristics/.claude-plugin/plugin.json,design,1,0,0,0,0,0,1,11
152,plugins/design/wondelai-web-typography,plugins/design/wondelai-web-typography/.claude-plugin/plugin.json,design,1,0,0,0,0,0,1,9
153,plugins/devops/ansible-playbook-creator,plugins/devops/ansible-playbook-creator/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,13
154,plugins/devops/auto-scaling-configurator,plugins/devops/auto-scaling-configurator/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,12
155,plugins/devops/backup-strategy-implementor,plugins/devops/backup-strategy-implementor/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,8
156,plugins/devops/ci-cd-pipeline-builder,plugins/devops/ci-cd-pipeline-builder/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,8
157,plugins/devops/cloud-cost-optimizer,plugins/devops/cloud-cost-optimizer/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,13
158,plugins/devops/compliance-checker,plugins/devops/compliance-checker/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,12
159,plugins/devops/container-registry-manager,plugins/devops/container-registry-manager/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,9
160,plugins/devops/container-security-scanner,plugins/devops/container-security-scanner/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,10
161,plugins/devops/deployment-pipeline-orchestrator,plugins/devops/deployment-pipeline-orchestrator/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,11
162,plugins/devops/deployment-rollback-manager,plugins/devops/deployment-rollback-manager/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,14
163,plugins/devops/disaster-recovery-planner,plugins/devops/disaster-recovery-planner/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,8
164,plugins/devops/docker-compose-generator,plugins/devops/docker-compose-generator/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,13
165,plugins/devops/environment-config-manager,plugins/devops/environment-config-manager/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,9
166,plugins/devops/fairdb-operations-kit,plugins/devops/fairdb-operations-kit/.claude-plugin/plugin.json,devops,1,0,0,0,1,1,1,22
167,plugins/devops/gh-dash,plugins/devops/gh-dash/.claude-plugin/plugin.json,devops,1,0,0,0,0,0,1,3
168,plugins/devops/git-commit-smart,plugins/devops/git-commit-smart/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,11
169,plugins/devops/gitops-workflow-builder,plugins/devops/gitops-workflow-builder/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,8
170,plugins/devops/helm-chart-generator,plugins/devops/helm-chart-generator/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,10
171,plugins/devops/infrastructure-as-code-generator,plugins/devops/infrastructure-as-code-generator/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,10
172,plugins/devops/infrastructure-drift-detector,plugins/devops/infrastructure-drift-detector/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,9
173,plugins/devops/jeremy-adk-terraform,plugins/devops/jeremy-adk-terraform/.claude-plugin/plugin.json,devops,1,0,0,0,0,0,1,8
174,plugins/devops/jeremy-genkit-terraform,plugins/devops/jeremy-genkit-terraform/.claude-plugin/plugin.json,devops,1,0,0,0,0,0,1,8
175,plugins/devops/jeremy-github-actions-gcp,plugins/devops/jeremy-github-actions-gcp/.claude-plugin/plugin.json,devops,1,0,0,0,0,1,1,11
176,plugins/devops/jeremy-vertex-terraform,plugins/devops/jeremy-vertex-terraform/.claude-plugin/plugin.json,devops,1,0,0,0,0,0,1,8
177,plugins/devops/kubernetes-deployment-creator,plugins/devops/kubernetes-deployment-creator/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,29
178,plugins/devops/load-balancer-configurator,plugins/devops/load-balancer-configurator/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,13
179,plugins/devops/log-aggregation-setup,plugins/devops/log-aggregation-setup/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,17
180,plugins/devops/monitoring-stack-deployer,plugins/devops/monitoring-stack-deployer/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,14
181,plugins/devops/network-policy-manager,plugins/devops/network-policy-manager/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,10
182,plugins/devops/secrets-manager-integrator,plugins/devops/secrets-manager-integrator/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,12
183,plugins/devops/service-mesh-configurator,plugins/devops/service-mesh-configurator/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,16
184,plugins/devops/terraform-module-builder,plugins/devops/terraform-module-builder/.claude-plugin/plugin.json,devops,1,0,0,0,1,0,1,9
185,plugins/examples/formatter,plugins/examples/formatter/.claude-plugin/plugin.json,examples,1,0,0,0,1,0,1,25
186,plugins/examples/hello-world,plugins/examples/hello-world/.claude-plugin/plugin.json,examples,1,0,0,0,1,0,1,16
187,plugins/examples/jeremy-plugin-tool,plugins/examples/jeremy-plugin-tool/.claude-plugin/plugin.json,examples,1,0,0,0,1,0,1,53
188,plugins/examples/pi-pathfinder,plugins/examples/pi-pathfinder/.claude-plugin/plugin.json,examples,1,0,0,0,0,0,1,15
189,plugins/examples/security-agent,plugins/examples/security-agent/.claude-plugin/plugin.json,examples,1,0,0,0,0,1,1,12
190,plugins/finance/openbb-terminal,plugins/finance/openbb-terminal/.claude-plugin/plugin.json,finance,1,0,0,0,1,1,1,23
191,plugins/jeremy-google-adk,plugins/jeremy-google-adk/.claude-plugin/plugin.json,jeremy-google-adk,1,0,0,0,0,0,1,6
192,plugins/jeremy-vertex-ai,plugins/jeremy-vertex-ai/.claude-plugin/plugin.json,jeremy-vertex-ai,1,0,0,0,0,0,1,5
193,plugins/mcp/ai-experiment-logger,plugins/mcp/ai-experiment-logger/.claude-plugin/plugin.json,mcp,1,1,0,1,1,0,1,31
