id,plugin_path,field_name,raw_value
17,plugins/ai-agency/n8n-workflow-designer/.claude-plugin/plugin.json,description,"Design complex n8n workflows with AI assistance - loops, branching, error handling"
18,plugins/ai-agency/n8n-workflow-designer/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugin Hub"", ""url"": ""https://github.com/jeremylongshore/claude-code-plugins""}"
19,plugins/ai-agency/n8n-workflow-designer/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
20,plugins/ai-agency/n8n-workflow-designer/.claude-plugin/plugin.json,license,MIT
21,plugins/ai-agency/n8n-workflow-designer/.claude-plugin/plugin.json,keywords,"[""n8n"", ""workflow"", ""automation"", ""self-hosted"", ""open-source"", ""ai-agency""]"
22,plugins/ai-agency/roi-calculator/.claude-plugin/plugin.json,name,roi-calculator
23,plugins/ai-agency/roi-calculator/.claude-plugin/plugin.json,version,1.0.0
24,plugins/ai-agency/roi-calculator/.claude-plugin/plugin.json,description,Calculate and present ROI for AI automation projects
25,plugins/ai-agency/roi-calculator/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugin Hub"", ""url"": ""https://github.com/jeremylongshore/claude-code-plugins""}"
26,plugins/ai-agency/roi-calculator/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
27,plugins/ai-agency/roi-calculator/.claude-plugin/plugin.json,license,MIT
28,plugins/ai-agency/roi-calculator/.claude-plugin/plugin.json,keywords,"[""roi"", ""return on investment"", ""calculator"", ""sales"", ""value"", ""ai-agency""]"
29,plugins/ai-agency/sow-generator/.claude-plugin/plugin.json,name,sow-generator
30,plugins/ai-agency/sow-generator/.claude-plugin/plugin.json,version,1.0.0
31,plugins/ai-agency/sow-generator/.claude-plugin/plugin.json,description,Generate professional Statements of Work for AI projects
32,plugins/ai-agency/sow-generator/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugin Hub"", ""url"": ""https://github.com/jeremylongshore/claude-code-plugins""}"
33,plugins/ai-agency/sow-generator/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
34,plugins/ai-agency/sow-generator/.claude-plugin/plugin.json,license,MIT
35,plugins/ai-agency/sow-generator/.claude-plugin/plugin.json,keywords,"[""sow"", ""statement of work"", ""contract"", ""proposal"", ""agency"", ""ai-agency""]"
36,plugins/ai-agency/zapier-zap-builder/.claude-plugin/plugin.json,name,zapier-zap-builder
37,plugins/ai-agency/zapier-zap-builder/.claude-plugin/plugin.json,version,1.0.0
38,plugins/ai-agency/zapier-zap-builder/.claude-plugin/plugin.json,description,"Create multi-step Zapier Zaps with filters, paths, and formatters"
39,plugins/ai-agency/zapier-zap-builder/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugin Hub"", ""url"": ""https://github.com/jeremylongshore/claude-code-plugins""}"
40,plugins/ai-agency/zapier-zap-builder/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
41,plugins/ai-agency/zapier-zap-builder/.claude-plugin/plugin.json,license,MIT
42,plugins/ai-agency/zapier-zap-builder/.claude-plugin/plugin.json,keywords,"[""zapier"", ""zap"", ""automation"", ""integration"", ""workflow"", ""ai-agency""]"
43,plugins/ai-ml/ai-ethics-validator/.claude-plugin/plugin.json,name,ai-ethics-validator
44,plugins/ai-ml/ai-ethics-validator/.claude-plugin/plugin.json,version,1.0.0
45,plugins/ai-ml/ai-ethics-validator/.claude-plugin/plugin.json,description,AI ethics and fairness validation
46,plugins/ai-ml/ai-ethics-validator/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
47,plugins/ai-ml/ai-ethics-validator/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
48,plugins/ai-ml/ai-ethics-validator/.claude-plugin/plugin.json,license,MIT
49,plugins/ai-ml/ai-ethics-validator/.claude-plugin/plugin.json,keywords,"[""ethics"", ""fairness"", ""bias"", ""responsible-ai"", ""agent-skills""]"
50,plugins/ai-ml/ai-sdk-agents/.claude-plugin/plugin.json,name,ai-sdk-agents
51,plugins/ai-ml/ai-sdk-agents/.claude-plugin/plugin.json,version,1.0.0
52,plugins/ai-ml/ai-sdk-agents/.claude-plugin/plugin.json,description,"Multi-agent orchestration with AI SDK v5 - handoffs, routing, and coordination for any AI provider (OpenAI, Anthropic, Google)"
53,plugins/ai-ml/ai-sdk-agents/.claude-plugin/plugin.json,author,"{""name"": ""Jeremy Longshore"", ""email"": ""[email protected]""}"
54,plugins/ai-ml/ai-sdk-agents/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
55,plugins/ai-ml/ai-sdk-agents/.claude-plugin/plugin.json,license,MIT
56,plugins/ai-ml/ai-sdk-agents/.claude-plugin/plugin.json,keywords,"[""ai-sdk"", ""agents"", ""multi-agent"", ""orchestration"", ""handoff"", ""routing"", ""llm"", ""openai"", ""anthropic"", ""google"", ""claude"", ""ai"", ""coordination"", ""agent-skills""]"
57,plugins/ai-ml/anomaly-detection-system/.claude-plugin/plugin.json,name,anomaly-detection-system
58,plugins/ai-ml/anomaly-detection-system/.claude-plugin/plugin.json,version,1.0.0
59,plugins/ai-ml/anomaly-detection-system/.claude-plugin/plugin.json,description,Detect anomalies and outliers in data
60,plugins/ai-ml/anomaly-detection-system/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
61,plugins/ai-ml/anomaly-detection-system/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
62,plugins/ai-ml/anomaly-detection-system/.claude-plugin/plugin.json,license,MIT
63,plugins/ai-ml/anomaly-detection-system/.claude-plugin/plugin.json,keywords,"[""anomaly"", ""outliers"", ""detection"", ""isolation"", ""agent-skills""]"
64,plugins/ai-ml/automl-pipeline-builder/.claude-plugin/plugin.json,name,automl-pipeline-builder
65,plugins/ai-ml/automl-pipeline-builder/.claude-plugin/plugin.json,version,1.0.0
66,plugins/ai-ml/automl-pipeline-builder/.claude-plugin/plugin.json,description,Build AutoML pipelines
67,plugins/ai-ml/automl-pipeline-builder/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
68,plugins/ai-ml/automl-pipeline-builder/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
69,plugins/ai-ml/automl-pipeline-builder/.claude-plugin/plugin.json,license,MIT
70,plugins/ai-ml/automl-pipeline-builder/.claude-plugin/plugin.json,keywords,"[""automl"", ""automated"", ""pipeline"", ""h2o"", ""agent-skills""]"
71,plugins/ai-ml/classification-model-builder/.claude-plugin/plugin.json,name,classification-model-builder
72,plugins/ai-ml/classification-model-builder/.claude-plugin/plugin.json,version,1.0.0
73,plugins/ai-ml/classification-model-builder/.claude-plugin/plugin.json,description,Build classification models
74,plugins/ai-ml/classification-model-builder/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
75,plugins/ai-ml/classification-model-builder/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
76,plugins/ai-ml/classification-model-builder/.claude-plugin/plugin.json,license,MIT
77,plugins/ai-ml/classification-model-builder/.claude-plugin/plugin.json,keywords,"[""classification"", ""supervised"", ""predictor"", ""labels"", ""agent-skills""]"
78,plugins/ai-ml/clustering-algorithm-runner/.claude-plugin/plugin.json,name,clustering-algorithm-runner
79,plugins/ai-ml/clustering-algorithm-runner/.claude-plugin/plugin.json,version,1.0.0
80,plugins/ai-ml/clustering-algorithm-runner/.claude-plugin/plugin.json,description,Run clustering algorithms on datasets
81,plugins/ai-ml/clustering-algorithm-runner/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
82,plugins/ai-ml/clustering-algorithm-runner/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
83,plugins/ai-ml/clustering-algorithm-runner/.claude-plugin/plugin.json,license,MIT
84,plugins/ai-ml/clustering-algorithm-runner/.claude-plugin/plugin.json,keywords,"[""clustering"", ""kmeans"", ""dbscan"", ""hierarchical"", ""agent-skills""]"
85,plugins/ai-ml/computer-vision-processor/.claude-plugin/plugin.json,name,computer-vision-processor
86,plugins/ai-ml/computer-vision-processor/.claude-plugin/plugin.json,version,1.0.0
87,plugins/ai-ml/computer-vision-processor/.claude-plugin/plugin.json,description,Computer vision image processing and analysis
88,plugins/ai-ml/computer-vision-processor/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
89,plugins/ai-ml/computer-vision-processor/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
90,plugins/ai-ml/computer-vision-processor/.claude-plugin/plugin.json,license,MIT
91,plugins/ai-ml/computer-vision-processor/.claude-plugin/plugin.json,keywords,"[""cv"", ""vision"", ""images"", ""detection"", ""agent-skills""]"
92,plugins/ai-ml/data-preprocessing-pipeline/.claude-plugin/plugin.json,name,data-preprocessing-pipeline
93,plugins/ai-ml/data-preprocessing-pipeline/.claude-plugin/plugin.json,version,1.0.0
94,plugins/ai-ml/data-preprocessing-pipeline/.claude-plugin/plugin.json,description,Automated data preprocessing and cleaning pipelines
95,plugins/ai-ml/data-preprocessing-pipeline/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
96,plugins/ai-ml/data-preprocessing-pipeline/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
97,plugins/ai-ml/data-preprocessing-pipeline/.claude-plugin/plugin.json,license,MIT
98,plugins/ai-ml/data-preprocessing-pipeline/.claude-plugin/plugin.json,keywords,"[""preprocessing"", ""cleaning"", ""etl"", ""pipeline"", ""agent-skills""]"
99,plugins/ai-ml/data-visualization-creator/.claude-plugin/plugin.json,name,data-visualization-creator
100,plugins/ai-ml/data-visualization-creator/.claude-plugin/plugin.json,version,1.0.0
101,plugins/ai-ml/data-visualization-creator/.claude-plugin/plugin.json,description,Create data visualizations and plots
102,plugins/ai-ml/data-visualization-creator/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
103,plugins/ai-ml/data-visualization-creator/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
104,plugins/ai-ml/data-visualization-creator/.claude-plugin/plugin.json,license,MIT
105,plugins/ai-ml/data-visualization-creator/.claude-plugin/plugin.json,keywords,"[""visualization"", ""plots"", ""charts"", ""graphs"", ""agent-skills""]"
106,plugins/ai-ml/dataset-splitter/.claude-plugin/plugin.json,name,dataset-splitter
107,plugins/ai-ml/dataset-splitter/.claude-plugin/plugin.json,version,1.0.0
108,plugins/ai-ml/dataset-splitter/.claude-plugin/plugin.json,description,"Split datasets for training, validation, and testing"
109,plugins/ai-ml/dataset-splitter/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
110,plugins/ai-ml/dataset-splitter/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
111,plugins/ai-ml/dataset-splitter/.claude-plugin/plugin.json,license,MIT
112,plugins/ai-ml/dataset-splitter/.claude-plugin/plugin.json,keywords,"[""split"", ""train-test"", ""validation"", ""stratify"", ""agent-skills""]"
113,plugins/ai-ml/deep-learning-optimizer/.claude-plugin/plugin.json,name,deep-learning-optimizer
114,plugins/ai-ml/deep-learning-optimizer/.claude-plugin/plugin.json,version,1.0.0
115,plugins/ai-ml/deep-learning-optimizer/.claude-plugin/plugin.json,description,Deep learning optimization techniques
116,plugins/ai-ml/deep-learning-optimizer/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
117,plugins/ai-ml/deep-learning-optimizer/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
118,plugins/ai-ml/deep-learning-optimizer/.claude-plugin/plugin.json,license,MIT
119,plugins/ai-ml/deep-learning-optimizer/.claude-plugin/plugin.json,keywords,"[""optimization"", ""adam"", ""sgd"", ""learning-rate"", ""agent-skills""]"
120,plugins/ai-ml/experiment-tracking-setup/.claude-plugin/plugin.json,name,experiment-tracking-setup
121,plugins/ai-ml/experiment-tracking-setup/.claude-plugin/plugin.json,version,1.0.0
122,plugins/ai-ml/experiment-tracking-setup/.claude-plugin/plugin.json,description,Set up ML experiment tracking
123,plugins/ai-ml/experiment-tracking-setup/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
124,plugins/ai-ml/experiment-tracking-setup/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
125,plugins/ai-ml/experiment-tracking-setup/.claude-plugin/plugin.json,license,MIT
126,plugins/ai-ml/experiment-tracking-setup/.claude-plugin/plugin.json,keywords,"[""experiments"", ""mlflow"", ""wandb"", ""tracking"", ""agent-skills""]"
127,plugins/ai-ml/feature-engineering-toolkit/.claude-plugin/plugin.json,name,feature-engineering-toolkit
128,plugins/ai-ml/feature-engineering-toolkit/.claude-plugin/plugin.json,version,1.0.0
129,plugins/ai-ml/feature-engineering-toolkit/.claude-plugin/plugin.json,description,"Feature creation, selection, and transformation tools"
130,plugins/ai-ml/feature-engineering-toolkit/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
131,plugins/ai-ml/feature-engineering-toolkit/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
132,plugins/ai-ml/feature-engineering-toolkit/.claude-plugin/plugin.json,license,MIT
133,plugins/ai-ml/feature-engineering-toolkit/.claude-plugin/plugin.json,keywords,"[""features"", ""engineering"", ""selection"", ""transformation"", ""agent-skills""]"
134,plugins/ai-ml/hyperparameter-tuner/.claude-plugin/plugin.json,name,hyperparameter-tuner
135,plugins/ai-ml/hyperparameter-tuner/.claude-plugin/plugin.json,version,1.0.0
136,plugins/ai-ml/hyperparameter-tuner/.claude-plugin/plugin.json,description,Optimize hyperparameters using grid/random/bayesian search
137,plugins/ai-ml/hyperparameter-tuner/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
138,plugins/ai-ml/hyperparameter-tuner/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
139,plugins/ai-ml/hyperparameter-tuner/.claude-plugin/plugin.json,license,MIT
140,plugins/ai-ml/hyperparameter-tuner/.claude-plugin/plugin.json,keywords,"[""hyperparameters"", ""optimization"", ""tuning"", ""search"", ""agent-skills""]"
141,plugins/ai-ml/jeremy-adk-orchestrator/.claude-plugin/plugin.json,name,jeremy-adk-orchestrator
142,plugins/ai-ml/jeremy-adk-orchestrator/.claude-plugin/plugin.json,version,2.1.0
143,plugins/ai-ml/jeremy-adk-orchestrator/.claude-plugin/plugin.json,description,Production ADK orchestrator for A2A protocol and multi-agent coordination on Vertex AI
144,plugins/ai-ml/jeremy-adk-orchestrator/.claude-plugin/plugin.json,author,"{""name"": ""Jeremy Longshore"", ""email"": ""jeremy@intentsolutions.io""}"
145,plugins/ai-ml/jeremy-adk-orchestrator/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
146,plugins/ai-ml/jeremy-adk-orchestrator/.claude-plugin/plugin.json,license,MIT
147,plugins/ai-ml/jeremy-adk-orchestrator/.claude-plugin/plugin.json,keywords,"[""vertex-ai"", ""adk"", ""agent-development-kit"", ""a2a-protocol"", ""multi-agent"", ""code-execution"", ""memory-bank"", ""google-cloud"", ""agent-engine"", ""orchestration""]"
148,plugins/ai-ml/jeremy-adk-software-engineer/.claude-plugin/plugin.json,name,jeremy-adk-software-engineer
149,plugins/ai-ml/jeremy-adk-software-engineer/.claude-plugin/plugin.json,version,2.1.0
150,plugins/ai-ml/jeremy-adk-software-engineer/.claude-plugin/plugin.json,description,"ADK software engineer for creating production-ready agents with testing, deployment, and multi-agent orchestration"
151,plugins/ai-ml/jeremy-adk-software-engineer/.claude-plugin/plugin.json,author,"{""name"": ""Jeremy Longshore"", ""email"": ""jeremy@intentsolutions.io""}"
152,plugins/ai-ml/jeremy-adk-software-engineer/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
153,plugins/ai-ml/jeremy-adk-software-engineer/.claude-plugin/plugin.json,license,MIT
154,plugins/ai-ml/jeremy-adk-software-engineer/.claude-plugin/plugin.json,keywords,"[""adk"", ""software-engineer"", ""agent-development"", ""vertex-ai""]"
155,plugins/ai-ml/jeremy-gcp-starter-examples/.claude-plugin/plugin.json,name,jeremy-gcp-starter-examples
156,plugins/ai-ml/jeremy-gcp-starter-examples/.claude-plugin/plugin.json,version,2.1.0
157,plugins/ai-ml/jeremy-gcp-starter-examples/.claude-plugin/plugin.json,description,Google Cloud starter kits and example code aggregator with ADK samples
158,plugins/ai-ml/jeremy-gcp-starter-examples/.claude-plugin/plugin.json,author,"{""name"": ""Jeremy Longshore"", ""email"": ""jeremy@intentsolutions.io""}"
159,plugins/ai-ml/jeremy-gcp-starter-examples/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
160,plugins/ai-ml/jeremy-gcp-starter-examples/.claude-plugin/plugin.json,license,MIT
161,plugins/ai-ml/jeremy-gcp-starter-examples/.claude-plugin/plugin.json,keywords,"[""google-cloud"", ""adk-samples"", ""genkit-examples"", ""vertex-ai"", ""agent-starter-pack"", ""code-examples"", ""starter-kits"", ""templates""]"
162,plugins/ai-ml/jeremy-genkit-pro/.claude-plugin/plugin.json,name,jeremy-genkit-pro
163,plugins/ai-ml/jeremy-genkit-pro/.claude-plugin/plugin.json,version,2.1.0
164,plugins/ai-ml/jeremy-genkit-pro/.claude-plugin/plugin.json,description,Firebase Genkit expert for production-ready AI workflows with RAG and tool calling
165,plugins/ai-ml/jeremy-genkit-pro/.claude-plugin/plugin.json,author,"{""name"": ""Jeremy Longshore"", ""email"": ""jeremy@intentsolutions.io""}"
166,plugins/ai-ml/jeremy-genkit-pro/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
167,plugins/ai-ml/jeremy-genkit-pro/.claude-plugin/plugin.json,license,MIT
168,plugins/ai-ml/jeremy-genkit-pro/.claude-plugin/plugin.json,keywords,"[""firebase"", ""genkit"", ""ai-flows"", ""rag"", ""monitoring"", ""gemini"", ""vertex-ai"", ""vector-search"", ""production-ai""]"
169,plugins/ai-ml/jeremy-vertex-engine/.claude-plugin/plugin.json,name,jeremy-vertex-engine
170,plugins/ai-ml/jeremy-vertex-engine/.claude-plugin/plugin.json,version,2.1.0
171,plugins/ai-ml/jeremy-vertex-engine/.claude-plugin/plugin.json,description,Vertex AI Agent Engine deployment inspector and runtime validator
172,plugins/ai-ml/jeremy-vertex-engine/.claude-plugin/plugin.json,author,"{""name"": ""Jeremy Longshore"", ""email"": ""jeremy@intentsolutions.io""}"
173,plugins/ai-ml/jeremy-vertex-engine/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
174,plugins/ai-ml/jeremy-vertex-engine/.claude-plugin/plugin.json,license,MIT
175,plugins/ai-ml/jeremy-vertex-engine/.claude-plugin/plugin.json,keywords,"[""vertex-ai"", ""agent-engine"", ""runtime-inspector"", ""agent-monitoring"", ""compliance"", ""production-validation"", ""gemini""]"
176,plugins/ai-ml/jeremy-vertex-validator/.claude-plugin/plugin.json,name,jeremy-vertex-validator
177,plugins/ai-ml/jeremy-vertex-validator/.claude-plugin/plugin.json,version,2.0.0
178,plugins/ai-ml/jeremy-vertex-validator/.claude-plugin/plugin.json,description,Production readiness validator for Vertex AI deployments and configurations
179,plugins/ai-ml/jeremy-vertex-validator/.claude-plugin/plugin.json,author,"{""name"": ""Jeremy Longshore"", ""email"": ""jeremy@intentsolutions.io""}"
180,plugins/ai-ml/jeremy-vertex-validator/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
181,plugins/ai-ml/jeremy-vertex-validator/.claude-plugin/plugin.json,license,MIT
182,plugins/ai-ml/jeremy-vertex-validator/.claude-plugin/plugin.json,keywords,"[""vertex-ai"", ""validation"", ""production-readiness"", ""security"", ""compliance"", ""monitoring"", ""best-practices""]"
183,plugins/ai-ml/ml-model-trainer/.claude-plugin/plugin.json,name,ml-model-trainer
184,plugins/ai-ml/ml-model-trainer/.claude-plugin/plugin.json,version,1.0.0
185,plugins/ai-ml/ml-model-trainer/.claude-plugin/plugin.json,description,Train and optimize machine learning models with automated workflows
186,plugins/ai-ml/ml-model-trainer/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
187,plugins/ai-ml/ml-model-trainer/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
188,plugins/ai-ml/ml-model-trainer/.claude-plugin/plugin.json,license,MIT
189,plugins/ai-ml/ml-model-trainer/.claude-plugin/plugin.json,keywords,"[""ml"", ""machine-learning"", ""training"", ""models"", ""ai"", ""agent-skills""]"
190,plugins/ai-ml/model-deployment-helper/.claude-plugin/plugin.json,name,model-deployment-helper
191,plugins/ai-ml/model-deployment-helper/.claude-plugin/plugin.json,version,1.0.0
192,plugins/ai-ml/model-deployment-helper/.claude-plugin/plugin.json,description,Deploy ML models to production
193,plugins/ai-ml/model-deployment-helper/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
194,plugins/ai-ml/model-deployment-helper/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
195,plugins/ai-ml/model-deployment-helper/.claude-plugin/plugin.json,license,MIT
196,plugins/ai-ml/model-deployment-helper/.claude-plugin/plugin.json,keywords,"[""deployment"", ""serving"", ""production"", ""api"", ""agent-skills""]"
197,plugins/ai-ml/model-evaluation-suite/.claude-plugin/plugin.json,name,model-evaluation-suite
198,plugins/ai-ml/model-evaluation-suite/.claude-plugin/plugin.json,version,1.0.0
199,plugins/ai-ml/model-evaluation-suite/.claude-plugin/plugin.json,description,Comprehensive model evaluation with multiple metrics
200,plugins/ai-ml/model-evaluation-suite/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
201,plugins/ai-ml/model-evaluation-suite/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
202,plugins/ai-ml/model-evaluation-suite/.claude-plugin/plugin.json,license,MIT
203,plugins/ai-ml/model-evaluation-suite/.claude-plugin/plugin.json,keywords,"[""evaluation"", ""metrics"", ""testing"", ""validation"", ""agent-skills""]"
204,plugins/ai-ml/model-explainability-tool/.claude-plugin/plugin.json,name,model-explainability-tool
205,plugins/ai-ml/model-explainability-tool/.claude-plugin/plugin.json,version,1.0.0
206,plugins/ai-ml/model-explainability-tool/.claude-plugin/plugin.json,description,Model interpretability and explainability
207,plugins/ai-ml/model-explainability-tool/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
208,plugins/ai-ml/model-explainability-tool/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
209,plugins/ai-ml/model-explainability-tool/.claude-plugin/plugin.json,license,MIT
210,plugins/ai-ml/model-explainability-tool/.claude-plugin/plugin.json,keywords,"[""explainability"", ""shap"", ""lime"", ""interpretability"", ""agent-skills""]"
211,plugins/ai-ml/model-versioning-tracker/.claude-plugin/plugin.json,name,model-versioning-tracker
212,plugins/ai-ml/model-versioning-tracker/.claude-plugin/plugin.json,version,1.0.0
213,plugins/ai-ml/model-versioning-tracker/.claude-plugin/plugin.json,description,Track and manage model versions
214,plugins/ai-ml/model-versioning-tracker/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
215,plugins/ai-ml/model-versioning-tracker/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
216,plugins/ai-ml/model-versioning-tracker/.claude-plugin/plugin.json,license,MIT
217,plugins/ai-ml/model-versioning-tracker/.claude-plugin/plugin.json,keywords,"[""versioning"", ""mlflow"", ""tracking"", ""registry"", ""agent-skills""]"
218,plugins/ai-ml/neural-network-builder/.claude-plugin/plugin.json,name,neural-network-builder
219,plugins/ai-ml/neural-network-builder/.claude-plugin/plugin.json,version,1.0.0
220,plugins/ai-ml/neural-network-builder/.claude-plugin/plugin.json,description,Build and configure neural network architectures
221,plugins/ai-ml/neural-network-builder/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
222,plugins/ai-ml/neural-network-builder/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
223,plugins/ai-ml/neural-network-builder/.claude-plugin/plugin.json,license,MIT
224,plugins/ai-ml/neural-network-builder/.claude-plugin/plugin.json,keywords,"[""neural-networks"", ""deep-learning"", ""architecture"", ""pytorch"", ""agent-skills""]"
225,plugins/ai-ml/nlp-text-analyzer/.claude-plugin/plugin.json,name,nlp-text-analyzer
226,plugins/ai-ml/nlp-text-analyzer/.claude-plugin/plugin.json,version,1.0.0
227,plugins/ai-ml/nlp-text-analyzer/.claude-plugin/plugin.json,description,Natural language processing and text analysis
228,plugins/ai-ml/nlp-text-analyzer/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugins"", ""email"": ""[email protected]""}"
229,plugins/ai-ml/nlp-text-analyzer/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
230,plugins/ai-ml/nlp-text-analyzer/.claude-plugin/plugin.json,license,MIT
231,plugins/ai-ml/nlp-text-analyzer/.claude-plugin/plugin.json,keywords,"[""nlp"", ""text"", ""analysis"", ""tokenization"", ""agent-skills""]"
