id,skill_path,field_name,raw_value
42,plugins/ai-ml/clustering-algorithm-runner/skills/running-clustering-algorithms/SKILL.md,compatible-with,"claude-code, codex, openclaw"
43,plugins/ai-ml/computer-vision-processor/skills/processing-computer-vision-tasks/SKILL.md,name,processing-computer-vision-tasks
44,plugins/ai-ml/computer-vision-processor/skills/processing-computer-vision-tasks/SKILL.md,description,"Process images using object detection, classification, and segmentation. Use when requesting ""analyze image"", ""object detection"", ""image classification"", or ""computer vision"". Trigger with relevant phrases based on skill purpose.
"
45,plugins/ai-ml/computer-vision-processor/skills/processing-computer-vision-tasks/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(cmd:*)"
46,plugins/ai-ml/computer-vision-processor/skills/processing-computer-vision-tasks/SKILL.md,version,1.0.0
47,plugins/ai-ml/computer-vision-processor/skills/processing-computer-vision-tasks/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
48,plugins/ai-ml/computer-vision-processor/skills/processing-computer-vision-tasks/SKILL.md,license,MIT
49,plugins/ai-ml/computer-vision-processor/skills/processing-computer-vision-tasks/SKILL.md,compatible-with,"claude-code, codex, openclaw"
50,plugins/ai-ml/data-preprocessing-pipeline/skills/preprocessing-data-with-automated-pipelines/SKILL.md,name,preprocessing-data-with-automated-pipelines
51,plugins/ai-ml/data-preprocessing-pipeline/skills/preprocessing-data-with-automated-pipelines/SKILL.md,description,"Process automate data cleaning, transformation, and validation for ML tasks. Use when requesting ""preprocess data"", ""clean data"", ""ETL pipeline"", or ""data transformation"". Trigger with relevant phrases based on skill purpose.
"
52,plugins/ai-ml/data-preprocessing-pipeline/skills/preprocessing-data-with-automated-pipelines/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(cmd:*)"
53,plugins/ai-ml/data-preprocessing-pipeline/skills/preprocessing-data-with-automated-pipelines/SKILL.md,version,1.0.0
54,plugins/ai-ml/data-preprocessing-pipeline/skills/preprocessing-data-with-automated-pipelines/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
55,plugins/ai-ml/data-preprocessing-pipeline/skills/preprocessing-data-with-automated-pipelines/SKILL.md,license,MIT
56,plugins/ai-ml/data-preprocessing-pipeline/skills/preprocessing-data-with-automated-pipelines/SKILL.md,compatible-with,"claude-code, codex, openclaw"
57,plugins/ai-ml/data-visualization-creator/skills/creating-data-visualizations/SKILL.md,name,creating-data-visualizations
58,plugins/ai-ml/data-visualization-creator/skills/creating-data-visualizations/SKILL.md,description,"Generate plots, charts, and graphs from data with automatic visualization type selection. Use when requesting ""visualization"", ""plot"", ""chart"", or ""graph"". Trigger with phrases like 'generate', 'create', or 'scaffold'.
"
59,plugins/ai-ml/data-visualization-creator/skills/creating-data-visualizations/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(cmd:*)"
60,plugins/ai-ml/data-visualization-creator/skills/creating-data-visualizations/SKILL.md,version,1.0.0
61,plugins/ai-ml/data-visualization-creator/skills/creating-data-visualizations/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
62,plugins/ai-ml/data-visualization-creator/skills/creating-data-visualizations/SKILL.md,license,MIT
63,plugins/ai-ml/data-visualization-creator/skills/creating-data-visualizations/SKILL.md,compatible-with,"claude-code, codex, openclaw"
64,plugins/ai-ml/dataset-splitter/skills/splitting-datasets/SKILL.md,name,splitting-datasets
65,plugins/ai-ml/dataset-splitter/skills/splitting-datasets/SKILL.md,description,"Process split datasets into training, validation, and testing sets for ML model development. Use when requesting ""split dataset"", ""train-test split"", or ""data partitioning"". Trigger with relevant phrases based on skill purpose.
"
66,plugins/ai-ml/dataset-splitter/skills/splitting-datasets/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(cmd:*)"
67,plugins/ai-ml/dataset-splitter/skills/splitting-datasets/SKILL.md,version,1.0.0
68,plugins/ai-ml/dataset-splitter/skills/splitting-datasets/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
69,plugins/ai-ml/dataset-splitter/skills/splitting-datasets/SKILL.md,license,MIT
70,plugins/ai-ml/dataset-splitter/skills/splitting-datasets/SKILL.md,compatible-with,"claude-code, codex, openclaw"
71,plugins/ai-ml/deep-learning-optimizer/skills/optimizing-deep-learning-models/SKILL.md,name,optimizing-deep-learning-models
72,plugins/ai-ml/deep-learning-optimizer/skills/optimizing-deep-learning-models/SKILL.md,description,"Optimize deep learning models using Adam, SGD, and learning rate scheduling to improve accuracy and reduce training time. Use when asked to ""optimize deep learning model"" or ""improve model performance"". Trigger with phrases like 'optimize', 'performance', or 'speed up'.
"
73,plugins/ai-ml/deep-learning-optimizer/skills/optimizing-deep-learning-models/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(cmd:*)"
74,plugins/ai-ml/deep-learning-optimizer/skills/optimizing-deep-learning-models/SKILL.md,version,1.0.0
75,plugins/ai-ml/deep-learning-optimizer/skills/optimizing-deep-learning-models/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
76,plugins/ai-ml/deep-learning-optimizer/skills/optimizing-deep-learning-models/SKILL.md,license,MIT
77,plugins/ai-ml/deep-learning-optimizer/skills/optimizing-deep-learning-models/SKILL.md,compatible-with,"claude-code, codex, openclaw"
78,plugins/ai-ml/experiment-tracking-setup/skills/setting-up-experiment-tracking/SKILL.md,name,setting-up-experiment-tracking
79,plugins/ai-ml/experiment-tracking-setup/skills/setting-up-experiment-tracking/SKILL.md,description,"Implement machine learning experiment tracking using MLflow or Weights & Biases. Configures environment and provides code for logging parameters, metrics, and artifacts. Use when asked to ""setup experiment tracking"" or ""initialize MLflow"". Trigger with relevant phrases based on skill purpose.
"
80,plugins/ai-ml/experiment-tracking-setup/skills/setting-up-experiment-tracking/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(cmd:*)"
81,plugins/ai-ml/experiment-tracking-setup/skills/setting-up-experiment-tracking/SKILL.md,version,1.0.0
82,plugins/ai-ml/experiment-tracking-setup/skills/setting-up-experiment-tracking/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
83,plugins/ai-ml/experiment-tracking-setup/skills/setting-up-experiment-tracking/SKILL.md,license,MIT
84,plugins/ai-ml/experiment-tracking-setup/skills/setting-up-experiment-tracking/SKILL.md,compatible-with,"claude-code, codex, openclaw"
85,plugins/ai-ml/feature-engineering-toolkit/skills/engineering-features-for-machine-learning/SKILL.md,name,engineering-features-for-machine-learning
86,plugins/ai-ml/feature-engineering-toolkit/skills/engineering-features-for-machine-learning/SKILL.md,description,"Execute create, select, and transform features to improve machine learning model performance. Handles feature scaling, encoding, and importance analysis. Use when asked to ""engineer features"" or ""select features"". Trigger with relevant phrases based on skill purpose.
"
87,plugins/ai-ml/feature-engineering-toolkit/skills/engineering-features-for-machine-learning/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(cmd:*)"
88,plugins/ai-ml/feature-engineering-toolkit/skills/engineering-features-for-machine-learning/SKILL.md,version,1.0.0
89,plugins/ai-ml/feature-engineering-toolkit/skills/engineering-features-for-machine-learning/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
90,plugins/ai-ml/feature-engineering-toolkit/skills/engineering-features-for-machine-learning/SKILL.md,license,MIT
91,plugins/ai-ml/feature-engineering-toolkit/skills/engineering-features-for-machine-learning/SKILL.md,compatible-with,"claude-code, codex, openclaw"
92,plugins/ai-ml/hyperparameter-tuner/skills/tuning-hyperparameters/SKILL.md,name,tuning-hyperparameters
93,plugins/ai-ml/hyperparameter-tuner/skills/tuning-hyperparameters/SKILL.md,description,"Optimize machine learning model hyperparameters using grid search, random search, or Bayesian optimization. Finds best parameter configurations to maximize performance. Use when asked to ""tune hyperparameters"" or ""optimize model"". Trigger with relevant phrases based on skill purpose.
"
94,plugins/ai-ml/hyperparameter-tuner/skills/tuning-hyperparameters/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(cmd:*)"
95,plugins/ai-ml/hyperparameter-tuner/skills/tuning-hyperparameters/SKILL.md,version,1.0.0
96,plugins/ai-ml/hyperparameter-tuner/skills/tuning-hyperparameters/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
97,plugins/ai-ml/hyperparameter-tuner/skills/tuning-hyperparameters/SKILL.md,license,MIT
98,plugins/ai-ml/hyperparameter-tuner/skills/tuning-hyperparameters/SKILL.md,compatible-with,"claude-code, codex, openclaw"
99,plugins/ai-ml/jeremy-adk-orchestrator/skills/adk-deployment-specialist/SKILL.md,name,adk-deployment-specialist
100,plugins/ai-ml/jeremy-adk-orchestrator/skills/adk-deployment-specialist/SKILL.md,description,"Deploy and orchestrate Vertex AI ADK agents using A2A protocol. Manages AgentCard discovery, task submission, Code Execution Sandbox, and Memory Bank. Use when asked to ""deploy ADK agent"" or ""orchestrate agents"". Trigger with phrases like 'deploy', 'infrastructure', or 'CI/CD'.
"
101,plugins/ai-ml/jeremy-adk-orchestrator/skills/adk-deployment-specialist/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(cmd:*)"
102,plugins/ai-ml/jeremy-adk-orchestrator/skills/adk-deployment-specialist/SKILL.md,version,2.1.0
103,plugins/ai-ml/jeremy-adk-orchestrator/skills/adk-deployment-specialist/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
104,plugins/ai-ml/jeremy-adk-orchestrator/skills/adk-deployment-specialist/SKILL.md,license,MIT
105,plugins/ai-ml/jeremy-adk-orchestrator/skills/adk-deployment-specialist/SKILL.md,compatible-with,"claude-code, codex, openclaw"
106,plugins/ai-ml/jeremy-adk-orchestrator/skills/adk-deployment-specialist/SKILL.md,effort,high
107,plugins/ai-ml/jeremy-adk-orchestrator/skills/adk-deployment-specialist/SKILL.md,argument-hint,<agent-name or project-id>
108,plugins/ai-ml/jeremy-adk-software-engineer/skills/adk-engineer/SKILL.md,name,adk-engineer
109,plugins/ai-ml/jeremy-adk-software-engineer/skills/adk-engineer/SKILL.md,description,"Execute software engineer specializing in creating production-ready ADK agents with best practices, code structure, testing, and deployment automation. Use when asked to ""build ADK agent"", ""create agent code"", or ""engineer ADK application"". Trigger with relevant phrases based on skill purpose.
"
110,plugins/ai-ml/jeremy-adk-software-engineer/skills/adk-engineer/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(cmd:*)"
111,plugins/ai-ml/jeremy-adk-software-engineer/skills/adk-engineer/SKILL.md,version,2.1.0
112,plugins/ai-ml/jeremy-adk-software-engineer/skills/adk-engineer/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
113,plugins/ai-ml/jeremy-adk-software-engineer/skills/adk-engineer/SKILL.md,license,MIT
114,plugins/ai-ml/jeremy-adk-software-engineer/skills/adk-engineer/SKILL.md,effort,high
115,plugins/ai-ml/jeremy-adk-software-engineer/skills/adk-engineer/SKILL.md,compatible-with,"claude-code, codex, openclaw"
116,plugins/ai-ml/jeremy-gcp-starter-examples/skills/gcp-examples-expert/SKILL.md,name,gcp-examples-expert
117,plugins/ai-ml/jeremy-gcp-starter-examples/skills/gcp-examples-expert/SKILL.md,description,"Generate production-ready Google Cloud code examples from official repositories including ADK samples, Genkit templates, Vertex AI notebooks, and Gemini patterns. Use when asked to ""show ADK example"" or ""provide GCP starter kit"". Trigger with relevant phrases based on skill purpose.
"
118,plugins/ai-ml/jeremy-gcp-starter-examples/skills/gcp-examples-expert/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(cmd:*)"
119,plugins/ai-ml/jeremy-gcp-starter-examples/skills/gcp-examples-expert/SKILL.md,version,2.1.0
120,plugins/ai-ml/jeremy-gcp-starter-examples/skills/gcp-examples-expert/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
121,plugins/ai-ml/jeremy-gcp-starter-examples/skills/gcp-examples-expert/SKILL.md,license,MIT
122,plugins/ai-ml/jeremy-gcp-starter-examples/skills/gcp-examples-expert/SKILL.md,effort,medium
123,plugins/ai-ml/jeremy-gcp-starter-examples/skills/gcp-examples-expert/SKILL.md,argument-hint,[framework or use-case]
124,plugins/ai-ml/jeremy-gcp-starter-examples/skills/gcp-examples-expert/SKILL.md,compatible-with,"claude-code, codex, openclaw"
125,plugins/ai-ml/jeremy-genkit-pro/skills/genkit-production-expert/SKILL.md,name,genkit-production-expert
126,plugins/ai-ml/jeremy-genkit-pro/skills/genkit-production-expert/SKILL.md,description,"Build production Firebase Genkit applications including RAG systems, multi-step flows, and tool calling for Node.js/Python/Go. Deploy to Firebase Functions or Cloud Run with AI monitoring. Use when asked to ""create genkit flow"" or ""implement RAG"". Trigger with relevant phrases based on skill purpose.
"
127,plugins/ai-ml/jeremy-genkit-pro/skills/genkit-production-expert/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(cmd:*)"
128,plugins/ai-ml/jeremy-genkit-pro/skills/genkit-production-expert/SKILL.md,version,2.1.0
129,plugins/ai-ml/jeremy-genkit-pro/skills/genkit-production-expert/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
130,plugins/ai-ml/jeremy-genkit-pro/skills/genkit-production-expert/SKILL.md,license,MIT
131,plugins/ai-ml/jeremy-genkit-pro/skills/genkit-production-expert/SKILL.md,effort,medium
132,plugins/ai-ml/jeremy-genkit-pro/skills/genkit-production-expert/SKILL.md,compatible-with,"claude-code, codex, openclaw"
133,plugins/ai-ml/jeremy-vertex-engine/skills/vertex-engine-inspector/SKILL.md,name,vertex-engine-inspector
134,plugins/ai-ml/jeremy-vertex-engine/skills/vertex-engine-inspector/SKILL.md,description,"Inspect and validate Vertex AI Agent Engine deployments including Code Execution Sandbox, Memory Bank, A2A protocol compliance, and security posture. Generates production readiness scores. Use when asked to inspect, validate, or audit an Agent Engine deployment. Trigger with ""inspect agent engine"", ""validate agent engine deployment"", ""check agent engine config"", ""audit agent engine security"", ""agent engine readiness check"", ""vertex engine health"", or ""reasoning engine status"".
"
135,plugins/ai-ml/jeremy-vertex-engine/skills/vertex-engine-inspector/SKILL.md,allowed-tools,"Read, Grep, Glob, Bash(cmd:*)"
136,plugins/ai-ml/jeremy-vertex-engine/skills/vertex-engine-inspector/SKILL.md,version,2.1.0
137,plugins/ai-ml/jeremy-vertex-engine/skills/vertex-engine-inspector/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
138,plugins/ai-ml/jeremy-vertex-engine/skills/vertex-engine-inspector/SKILL.md,license,MIT
139,plugins/ai-ml/jeremy-vertex-engine/skills/vertex-engine-inspector/SKILL.md,compatible-with,"claude-code, codex, openclaw"
140,plugins/ai-ml/jeremy-vertex-engine/skills/vertex-engine-inspector/SKILL.md,argument-hint,<project-id> <agent-engine-id> [location]
141,plugins/ai-ml/jeremy-vertex-engine/skills/vertex-engine-inspector/SKILL.md,effort,high
142,plugins/ai-ml/jeremy-vertex-validator/skills/validator-expert/SKILL.md,name,validator-expert
143,plugins/ai-ml/jeremy-vertex-validator/skills/validator-expert/SKILL.md,description,"Validate production readiness of Vertex AI Agent Engine deployments across
security, monitoring, performance, compliance, and best practices. Generates
weighted scores (0-100%) with actionable remediation plans. Use when asked to
validate a deployment, run a production readiness check, audit security posture,
or verify compliance for Vertex AI agents. Trigger with ""validate deployment"",
""production readiness"", ""security audit"", ""compliance check"", ""is this agent
ready for prod"", ""check my ADK agent"", ""review before deploy"", or
""production readiness check"". Make sure to use this skill whenever validating
ADK agents for Agent Engine.
"
144,plugins/ai-ml/jeremy-vertex-validator/skills/validator-expert/SKILL.md,allowed-tools,"Read,Grep,Glob,Bash(gcloud:*),Bash(python:*),Bash(pylint:*),Bash(flake8:*),Bash(mypy:*),Bash(bandit:*),Bash(pytest:*)"
145,plugins/ai-ml/jeremy-vertex-validator/skills/validator-expert/SKILL.md,version,2.1.0
146,plugins/ai-ml/jeremy-vertex-validator/skills/validator-expert/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
147,plugins/ai-ml/jeremy-vertex-validator/skills/validator-expert/SKILL.md,license,MIT
148,plugins/ai-ml/jeremy-vertex-validator/skills/validator-expert/SKILL.md,compatible-with,"claude-code, codex, openclaw"
149,plugins/ai-ml/jeremy-vertex-validator/skills/validator-expert/SKILL.md,tags,"[""vertex-ai"", ""security"", ""compliance"", ""validation"", ""production-readiness"", ""gcp""]"
150,plugins/ai-ml/jeremy-vertex-validator/skills/validator-expert/SKILL.md,model,inherit
151,plugins/ai-ml/jeremy-vertex-validator/skills/validator-expert/SKILL.md,effort,high
152,plugins/ai-ml/jeremy-vertex-validator/skills/validator-expert/SKILL.md,argument-hint,[project-id]
153,plugins/ai-ml/ml-model-trainer/skills/training-machine-learning-models/SKILL.md,name,training-machine-learning-models
154,plugins/ai-ml/ml-model-trainer/skills/training-machine-learning-models/SKILL.md,description,"Build train machine learning models with automated workflows. Analyzes datasets, selects model types (classification, regression), configures parameters, trains with cross-validation, and saves model artifacts. Use when asked to ""train model"" or ""evalua... Trigger with relevant phrases based on skill purpose.
"
155,plugins/ai-ml/ml-model-trainer/skills/training-machine-learning-models/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(cmd:*)"
156,plugins/ai-ml/ml-model-trainer/skills/training-machine-learning-models/SKILL.md,version,1.0.0
157,plugins/ai-ml/ml-model-trainer/skills/training-machine-learning-models/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
158,plugins/ai-ml/ml-model-trainer/skills/training-machine-learning-models/SKILL.md,license,MIT
159,plugins/ai-ml/ml-model-trainer/skills/training-machine-learning-models/SKILL.md,compatible-with,"claude-code, codex, openclaw"
160,plugins/ai-ml/model-deployment-helper/skills/deploying-machine-learning-models/SKILL.md,name,deploying-machine-learning-models
161,plugins/ai-ml/model-deployment-helper/skills/deploying-machine-learning-models/SKILL.md,description,"Deploy this skill enables AI assistant to deploy machine learning models to production environments. it automates the deployment workflow, implements best practices for serving models, optimizes performance, and handles potential errors. use this skill when th... Use when deploying or managing infrastructure. Trigger with phrases like 'deploy', 'infrastructure', or 'CI/CD'.
"
162,plugins/ai-ml/model-deployment-helper/skills/deploying-machine-learning-models/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(cmd:*)"
163,plugins/ai-ml/model-deployment-helper/skills/deploying-machine-learning-models/SKILL.md,version,1.0.0
164,plugins/ai-ml/model-deployment-helper/skills/deploying-machine-learning-models/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
165,plugins/ai-ml/model-deployment-helper/skills/deploying-machine-learning-models/SKILL.md,license,MIT
166,plugins/ai-ml/model-deployment-helper/skills/deploying-machine-learning-models/SKILL.md,compatible-with,"claude-code, codex, openclaw"
167,plugins/ai-ml/model-evaluation-suite/skills/evaluating-machine-learning-models/SKILL.md,name,evaluating-machine-learning-models
168,plugins/ai-ml/model-evaluation-suite/skills/evaluating-machine-learning-models/SKILL.md,description,"Build this skill allows AI assistant to evaluate machine learning models using a comprehensive suite of metrics. it should be used when the user requests model performance analysis, validation, or testing. AI assistant can use this skill to assess model accuracy, p... Use when appropriate context detected. Trigger with relevant phrases based on skill purpose.
"
169,plugins/ai-ml/model-evaluation-suite/skills/evaluating-machine-learning-models/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(cmd:*)"
170,plugins/ai-ml/model-evaluation-suite/skills/evaluating-machine-learning-models/SKILL.md,version,1.0.0
171,plugins/ai-ml/model-evaluation-suite/skills/evaluating-machine-learning-models/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
172,plugins/ai-ml/model-evaluation-suite/skills/evaluating-machine-learning-models/SKILL.md,license,MIT
173,plugins/ai-ml/model-evaluation-suite/skills/evaluating-machine-learning-models/SKILL.md,compatible-with,"claude-code, codex, openclaw"
174,plugins/ai-ml/model-explainability-tool/skills/explaining-machine-learning-models/SKILL.md,name,explaining-machine-learning-models
175,plugins/ai-ml/model-explainability-tool/skills/explaining-machine-learning-models/SKILL.md,description,"Build this skill enables AI assistant to provide interpretability and explainability for machine learning models. it is triggered when the user requests explanations for model predictions, insights into feature importance, or help understanding model behavior... Use when appropriate context detected. Trigger with relevant phrases based on skill purpose.
"
176,plugins/ai-ml/model-explainability-tool/skills/explaining-machine-learning-models/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(cmd:*)"
177,plugins/ai-ml/model-explainability-tool/skills/explaining-machine-learning-models/SKILL.md,version,1.0.0
178,plugins/ai-ml/model-explainability-tool/skills/explaining-machine-learning-models/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
179,plugins/ai-ml/model-explainability-tool/skills/explaining-machine-learning-models/SKILL.md,license,MIT
180,plugins/ai-ml/model-explainability-tool/skills/explaining-machine-learning-models/SKILL.md,compatible-with,"claude-code, codex, openclaw"
181,plugins/ai-ml/model-versioning-tracker/skills/tracking-model-versions/SKILL.md,name,tracking-model-versions
182,plugins/ai-ml/model-versioning-tracker/skills/tracking-model-versions/SKILL.md,description,"Build this skill enables AI assistant to track and manage ai/ml model versions using the model-versioning-tracker plugin. it should be used when the user asks to manage model versions, track model lineage, log model performance, or implement version control f... Use when appropriate context detected. Trigger with relevant phrases based on skill purpose.
"
183,plugins/ai-ml/model-versioning-tracker/skills/tracking-model-versions/SKILL.md,allowed-tools,"Read, Write, Edit, Grep, Glob, Bash(cmd:*)"
184,plugins/ai-ml/model-versioning-tracker/skills/tracking-model-versions/SKILL.md,version,1.0.0
185,plugins/ai-ml/model-versioning-tracker/skills/tracking-model-versions/SKILL.md,author,Jeremy Longshore <jeremy@intentsolutions.io>
