id,path,language,purpose,script_type,arguments,inputs,outputs,dependencies
76,scripts/skills-enhancer-gcloud.sh,Bash,Overnight Plugin Enhancement System - Using gcloud CLI,enhancer,[],[],[],[]
77,scripts/skills-generate-gemini.py,Python,Configure Gemini,generator,[],"[""file reads"", ""CLI arguments"", ""environment variables""]","[""file writes"", ""stdout"", ""exit codes""]","[""pathlib"", ""os"", ""json"", ""sys"", ""google.generativeai""]"
78,scripts/skills-generate-vertex-safe.py,Python,skills-generate-vertex-safe.py,generator,[],"[""file reads"", ""CLI arguments""]","[""file writes"", ""stdout"", ""exit codes""]","[""pathlib"", ""os"", ""datetime"", ""vertexai"", ""json"", ""vertexai.generative_models"", ""time"", ""typing"", ""sys"", ""sqlite3""]"
79,scripts/skills-generate-vertex.py,Python,Vertex AI SDK,generator,[],"[""file reads"", ""CLI arguments""]","[""file writes"", ""stdout"", ""exit codes""]","[""pathlib"", ""os"", ""datetime"", ""vertexai"", ""json"", ""vertexai.generative_models"", ""time"", ""sys""]"
80,scripts/skills-process-next.sh,Bash,Find the next plugin that needs an Agent Skill added,utility,[],[],[],[]
81,scripts/sync-external.mjs,JavaScript,sync-external.mjs,migrator,[],"[""file reads"", ""CLI arguments"", ""environment variables""]","[""file writes"", ""stdout"", ""exit codes""]",[]
82,scripts/sync-marketplace.cjs,JavaScript,sync-marketplace.cjs,migrator,[],"[""file reads""]","[""file writes"", ""stdout"", ""exit codes""]","[""path"", ""fs""]"
83,scripts/sync-validators-to-nixtla.sh,Bash,sync-validators-to-nixtla.sh,migrator,[],[],[],[]
84,scripts/test-clean-environment.sh,Bash,Clean Environment Testing Script,test-helper,[],[],[],[]
85,scripts/test-docker-suite.sh,Bash,Docker-based Test Suite Runner,test-helper,[],[],[],[]
86,scripts/test-plugin-installation.sh,Bash,Tests plugin installation in isolated environment,test-helper,[],[],[],[]
87,scripts/transform-standalone-skills.py,Python,"Extract context from skill content.""""""",utility,[],[],"[""stdout"", ""exit codes""]","[""re"", ""os"", ""sys"", ""pathlib""]"
88,scripts/update-metrics.mjs,JavaScript,update-metrics.mjs,updater,[],"[""file reads"", ""CLI arguments""]","[""file writes"", ""stdout"", ""exit codes""]",[]
89,scripts/update-readme-badges.mjs,JavaScript,update-readme-badges.mjs,updater,[],"[""file reads"", ""CLI arguments""]","[""file writes"", ""stdout"", ""exit codes""]",[]
90,scripts/util-remove-emojis.pl,Perl,Define emoji patterns to remove,cleaner,[],"[""file reads""]",[],[]
91,scripts/util-remove-emojis.py,Python,Define the emoji pattern,cleaner,[],"[""file reads""]","[""file writes"", ""stdout""]","[""re"", ""os"", ""pathlib"", ""shutil""]"
92,scripts/util-remove-emojis.sh,Bash,Script to remove emojis from all markdown and other text files,cleaner,[],[],[],[]
93,scripts/validate-all-plugins.sh,Bash,Validates all plugins before allowing deployment,validator,[],[],[],[]
94,scripts/validate-all-plugins.sh.backup,unknown,Validates all plugins before allowing deployment,validator,[],[],[],[]
95,scripts/validate-cowork-security.mjs,JavaScript,validate-cowork-security.mjs,validator,[],"[""file reads""]","[""stdout"", ""exit codes""]",[]
96,scripts/validate-plugin.js,JavaScript,ANSI color codes,validator,[],"[""file reads"", ""CLI arguments"", ""environment variables""]","[""file writes"", ""stdout"", ""exit codes""]","[""os"", ""path"", ""fs""]"
97,scripts/validate-skills-schema.py,Python,validate-skills-schema.py,validator,"[""--verbose""]","[""environment variables""]","[""stdout"", ""exit codes""]","[""pathlib"", ""os"", ""re"", ""json"", ""argparse"", ""typing"", ""sys""]"
98,scripts/verify-skill-enhancements.sh,Bash,Enhancement Verification Script,enhancer,[],[],[],[]
99,create-tasks.sh,Bash,Create all beads tasks for interactive lab,generator,[],[],[],[]
100,setup.sh,Bash,Change to repository directory,utility,[],[],[],[]
101,test_youtube_strategy.py,Python,test_youtube_strategy.py,test-helper,[],"[""file reads""]",[],"[""os"", ""re"", ""json"", ""yaml"", ""pytest""]"
102,marketplace/scripts/build.mjs,JavaScript,build.mjs,generator,[],"[""environment variables""]","[""exit codes""]",[]
103,marketplace/scripts/discover-skills.mjs,JavaScript,discover-skills.mjs,utility,[],"[""file reads""]","[""file writes"", ""stdout"", ""exit codes""]",[]
104,marketplace/scripts/extract-readme-sections.mjs,JavaScript,extract-readme-sections.mjs,utility,[],"[""file reads""]","[""file writes"", ""stdout""]",[]
105,marketplace/scripts/generate-playbook-pages.mjs,JavaScript,generate-playbook-pages.mjs,generator,[],"[""file reads""]","[""file writes"", ""stdout""]",[]
106,marketplace/scripts/generate-unified-search.mjs,JavaScript,generate-unified-search.mjs,generator,[],"[""file reads""]","[""file writes"", ""stdout""]",[]
107,marketplace/scripts/quick-test.sh,Bash,Quick test run (assumes build is current),test-helper,[],[],[],[]
108,marketplace/scripts/sync-catalog.mjs,JavaScript,sync-catalog.mjs,migrator,[],"[""file reads""]","[""file writes"", ""stdout"", ""exit codes""]",[]
109,marketplace/scripts/test-clean-environment.sh,Bash,"Test in completely clean environment (no node_modules, fresh install)",test-helper,[],[],[],[]
110,marketplace/scripts/test-docker-suite.sh,Bash,Run Playwright tests in Docker for clean environment testing,test-helper,[],[],[],[]
111,marketplace/scripts/validate-cowork-downloads.mjs,JavaScript,validate-cowork-downloads.mjs,validator,[],"[""file reads""]","[""stdout"", ""exit codes""]",[]
112,marketplace/scripts/validate-internal-links.mjs,JavaScript,validate-internal-links.mjs,validator,[],"[""file reads""]","[""stdout"", ""exit codes""]",[]
113,marketplace/scripts/validate-links.mjs,JavaScript,validate-links.mjs,validator,[],"[""file reads""]","[""stdout"", ""exit codes""]",[]
114,marketplace/scripts/validate-official-links.mjs,JavaScript,validate-official-links.mjs,validator,[],"[""file reads""]","[""stdout"", ""exit codes""]",[]
115,marketplace/scripts/validate-playbook-routes.mjs,JavaScript,validate-playbook-routes.mjs,validator,[],"[""file reads"", ""CLI arguments""]","[""stdout"", ""exit codes""]",[]
116,marketplace/scripts/validate-routes.mjs,JavaScript,validate-routes.mjs,validator,[],"[""file reads""]","[""stdout"", ""exit codes""]",[]
