package_name,latest_version,latest_tag,deprecated_flag,license,homepage,repository_url,latest_published_at,version_count,last_week_downloads,last_month_downloads
@types/ws,8.18.1,latest,0,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/ws,https://github.com/DefinitelyTyped/DefinitelyTyped.git,2025-08-03T08:01:01.390Z,80,,
@vercel/ncc,0.38.4,latest,0,MIT,https://github.com/vercel/ncc#readme,git+https://github.com/vercel/ncc.git,2026-01-23T18:14:46.902Z,37,,
@vitejs/plugin-react,6.0.1,latest,0,MIT,https://github.com/vitejs/vite-plugin-react/tree/main/packages/plugin-react#readme,git+https://github.com/vitejs/vite-plugin-react.git,2026-03-13T10:43:19.935Z,82,,
@vitest/coverage-v8,4.1.0,latest,0,MIT,https://vitest.dev/guide/coverage,git+https://github.com/vitest-dev/vitest.git,2026-03-12T14:06:47.915Z,151,,
@vitest/ui,4.1.0,latest,0,MIT,https://vitest.dev/guide/ui,git+https://github.com/vitest-dev/vitest.git,2026-03-12T14:06:51.763Z,341,,
archiver,7.0.1,latest,0,MIT,https://github.com/archiverjs/node-archiver,git+https://github.com/archiverjs/node-archiver.git,2024-03-10T03:23:53.825Z,84,,
astro,6.0.8,latest,0,MIT,https://astro.build,git+https://github.com/withastro/astro.git,2026-03-20T17:35:37.579Z,1330,,
autoprefixer,10.4.27,latest,0,MIT,https://github.com/postcss/autoprefixer#readme,git+https://github.com/postcss/autoprefixer.git,2026-02-25T19:33:36.680Z,252,,
axios,1.13.6,latest,0,MIT,https://axios-http.com,git+https://github.com/axios/axios.git,2026-02-27T15:35:52.392Z,129,,
chalk,5.6.2,latest,0,MIT,https://github.com/chalk/chalk#readme,git+https://github.com/chalk/chalk.git,2025-10-29T23:18:03.554Z,44,,
chokidar,5.0.0,latest,0,MIT,https://github.com/paulmillr/chokidar,git+https://github.com/paulmillr/chokidar.git,2025-11-25T23:28:07.321Z,111,62166502,
commander,14.0.3,latest,0,MIT,https://github.com/tj/commander.js#readme,git+https://github.com/tj/commander.js.git,2026-02-21T07:16:08.008Z,124,,
cors,2.8.6,latest,0,MIT,https://github.com/expressjs/cors#readme,git+https://github.com/expressjs/cors.git,2026-01-22T14:41:30.379Z,35,,
date-fns,4.1.0,latest,0,MIT,https://github.com/date-fns/date-fns#readme,git+https://github.com/date-fns/date-fns.git,2025-08-03T13:10:27.925Z,205,,
eslint,10.1.0,latest,0,MIT,https://eslint.org,git+https://github.com/eslint/eslint.git,2026-03-20T15:31:41.246Z,416,,
express,5.2.1,latest,0,MIT,https://expressjs.com/,git+https://github.com/expressjs/express.git,2026-03-08T21:17:05.618Z,317,,299776683
firebase-admin,13.7.0,latest,0,Apache-2.0,https://firebase.google.com/,git+https://github.com/firebase/firebase-admin-node.git,2026-02-26T17:25:04.708Z,149,,
firebase-functions,7.2.2,latest,0,MIT,https://github.com/firebase/firebase-functions#readme,git+https://github.com/firebase/firebase-functions.git,2026-03-17T18:40:00.370Z,142,,
fs-extra,11.3.4,latest,0,MIT,https://github.com/jprichardson/node-fs-extra,git+https://github.com/jprichardson/node-fs-extra.git,2026-03-03T16:46:08.861Z,101,,
fuse.js,7.1.0,latest,0,Apache-2.0,http://fusejs.io,git+https://github.com/krisk/Fuse.git,2025-02-03T00:43:04.033Z,117,,
glob,13.0.6,latest,0,BlueOak-1.0.0,https://github.com/isaacs/node-glob#readme,git+ssh://git@github.com/isaacs/node-glob.git,2026-02-19T17:26:33.383Z,184,,
immer,11.1.4,latest,0,MIT,https://github.com/immerjs/immer#readme,git+https://github.com/immerjs/immer.git,2026-02-10T02:47:08.657Z,185,,124065047
js-yaml,4.1.1,latest,0,MIT,https://github.com/nodeca/js-yaml,git+https://github.com/nodeca/js-yaml.git,2025-11-14T23:41:12.110Z,75,,
openapi-types,12.1.3,latest,0,MIT,https://github.com/kogosoftwarellc/open-api/tree/master/packages/openapi-types#readme,https://github.com/kogosoftwarellc/open-api/tree/master/packages/openapi-types,2023-05-24T22:26:38.944Z,36,,
ora,9.3.0,latest,0,MIT,https://github.com/sindresorhus/ora#readme,git+https://github.com/sindresorhus/ora.git,2026-02-05T04:33:37.738Z,55,,
postcss,8.5.8,latest,0,MIT,https://postcss.org/,git+https://github.com/postcss/postcss.git,2026-03-02T22:19:42.173Z,273,,
prettier,3.8.1,latest,0,MIT,https://prettier.io,git+https://github.com/prettier/prettier.git,2026-01-21T17:45:07.869Z,185,36845988,
react,19.2.4,latest,0,MIT,https://react.dev/,git+https://github.com/facebook/react.git,2026-03-20T16:27:05.344Z,2755,,
react-dom,19.2.4,latest,0,MIT,https://react.dev/,git+https://github.com/facebook/react.git,2026-03-20T16:27:13.078Z,2710,,
react-window,2.2.7,latest,0,MIT,https://react-window.vercel.app/,git+https://github.com/bvaughn/react-window.git,2026-02-13T22:35:53.914Z,77,,
recharts,3.8.0,latest,0,MIT,https://github.com/recharts/recharts,git+https://github.com/recharts/recharts.git,2026-03-06T21:58:48.330Z,282,,
simple-git,3.33.0,latest,0,MIT,https://github.com/steveukx/git-js#readme,git+https://github.com/steveukx/git-js.git,2026-03-10T16:23:09.761Z,269,,
tailwindcss,4.2.2,latest,0,MIT,https://tailwindcss.com,git+https://github.com/tailwindlabs/tailwindcss.git,2026-03-20T16:42:51.927Z,2492,,
tsx,4.21.0,latest,0,MIT,https://tsx.is,git+https://github.com/privatenumber/tsx.git,2025-11-30T15:56:09.695Z,119,,
typescript,5.9.3,latest,0,Apache-2.0,https://www.typescriptlang.org/,git+https://github.com/microsoft/TypeScript.git,2026-03-21T07:21:10.691Z,3756,,
typescript-eslint,8.57.1,latest,0,MIT,https://typescript-eslint.io/packages/typescript-eslint,git+https://github.com/typescript-eslint/typescript-eslint.git,2026-03-21T22:01:07.351Z,1284,,
vite,8.0.1,latest,0,MIT,https://vite.dev,git+https://github.com/vitejs/vite.git,2026-03-19T04:48:43.512Z,717,,
vitepress,1.6.4,latest,0,MIT,https://vitepress.dev/,git+https://github.com/vuejs/vitepress.git,2026-03-19T17:06:38.953Z,265,,
vitest,4.1.0,latest,0,MIT,https://vitest.dev,git+https://github.com/vitest-dev/vitest.git,2026-03-12T14:06:30.975Z,457,,
ws,8.20.0,latest,0,MIT,https://github.com/websockets/ws,git+https://github.com/websockets/ws.git,2026-03-21T17:31:08.710Z,176,,632265703
yaml,2.8.3,latest,0,ISC,https://eemeli.org/yaml/,git+https://github.com/eemeli/yaml.git,2026-03-21T10:37:55.900Z,100,,
zod,4.3.6,latest,0,MIT,https://zod.dev,git+https://github.com/colinhacks/zod.git,2026-01-25T21:51:57.252Z,860,,
zod-to-json-schema,3.25.1,latest,0,ISC,https://github.com/StefanTerdell/zod-to-json-schema#readme,git+https://github.com/StefanTerdell/zod-to-json-schema.git,2025-12-27T10:45:27.647Z,90,,
zustand,5.0.12,latest,0,MIT,https://github.com/pmndrs/zustand,git+https://github.com/pmndrs/zustand.git,2026-03-16T02:43:50.620Z,155,,
