id,anomaly_type,path,count,evidence,notes
19,binary_files_in_skills,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/assets/example_model.pkl,1,1 .pkl files in skill directories,"[""plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/assets/example_model.pkl""]"
20,binary_files_in_skills,plugins/security/input-validation-scanner/skills/scanning-input-validation-practices/assets/example_code_with_vulnerabilities.zip,1,1 .zip files in skill directories,"[""plugins/security/input-validation-scanner/skills/scanning-input-validation-practices/assets/example_code_with_vulnerabilities.zip""]"
21,binary_files_in_skills,plugins/devops/cloud-cost-optimizer/skills/optimizing-cloud-costs/assets/cost_report_template.pdf,1,1 .pdf files in skill directories,"[""plugins/devops/cloud-cost-optimizer/skills/optimizing-cloud-costs/assets/cost_report_template.pdf""]"
22,binary_files_in_skills,multiple,6,6 .png files in skill directories,"[""plugins/ai-ml/model-versioning-tracker/skills/tracking-model-versions/assets/versioning_diagram.png"", ""plugins/ai-ml/transfer-learning-adapter/skills/adapting-transfer-learning-models/assets/model_architecture.png"", ""plugins/crypto/trading-strategy-backtester/skills/backtesting-trading-strategies/reports/macd_BTC-USD_20260114_172116_chart.png"", ""plugins/crypto/trading-strategy-backtester/skills/backtesting-trading-strategies/reports/sma_crossover_BTC-USD_20260114_172025_chart.png"", ""plugins/crypto/trading-strategy-backtester/skills/backtesting-trading-strategies/reports/rsi_reversal_BTC-USD_20260114_172106_chart.png""]"
23,type_drift_plugin_author,plugin.json,349,"author field has mixed types: ['object', 'string']",
24,type_drift_plugin_repository,plugin.json,302,"repository field has mixed types: ['object', 'string']",
25,type_drift_frontmatter_allowed_tools,SKILL.md,1421,"allowed-tools field has mixed types: ['list', 'string']",
26,singleton_subdir,resources,1,"Subdirectory ""resources"" appears in only 1 skill directory",
27,singleton_subdir,.claude-plugin,1,"Subdirectory "".claude-plugin"" appears in only 1 skill directory",
28,singleton_subdir,hooks,1,"Subdirectory ""hooks"" appears in only 1 skill directory",
29,singleton_subdir,reports,1,"Subdirectory ""reports"" appears in only 1 skill directory",
30,singleton_subdir,.pytest_cache,1,"Subdirectory "".pytest_cache"" appears in only 1 skill directory",
31,singleton_subdir,tests,1,"Subdirectory ""tests"" appears in only 1 skill directory",
32,singleton_subdir,agents,1,"Subdirectory ""agents"" appears in only 1 skill directory",
33,singleton_subdir,templates,1,"Subdirectory ""templates"" appears in only 1 skill directory",
34,singleton_subdir,eval-viewer,1,"Subdirectory ""eval-viewer"" appears in only 1 skill directory",
35,log_files_at_root,asset_generation.log,2,Log files present at repo root,asset_generation.log (211KB) and asset_generation_old.log (65KB)
36,skill_md_tmp_files,multiple,3,3 SKILL.md.tmp files found,
37,no_skill_md_in_skill_dir,plugins/finance/openbb-terminal/skills/skill-adapter/,1,skill-adapter directory exists but has no SKILL.md — template stub,
38,mcp_not_executable,plugins/mcp/pr-to-spec/dist/index.js,1,dist/index.js exists but is NOT executable (missing shebang + chmod +x),per MCP plugin spec
39,mcp_no_dist_or_src,plugins/mcp/slack-channel/,1,MCP plugin has no dist/ or src/ directories — only skills subdirs,
40,skill_adapter_orphans,plugins/*/skills/skill-adapter/,59,59 skill-adapter template directories across packs with references/ but no SKILL.md,"ai-agency(6), api-development(25), crypto(23), community(1), devops(1), examples(3)"
41,duplicate_plugin_json,plugins/jeremy-google-adk/,2,plugin.json exists both at root AND in .claude-plugin/ — two copies,also in jeremy-vertex-ai
42,saas_skill_databases,plugins/saas-packs/skill-databases/,2602,"105 vendor subdirectories with 2,602 JSON skill definition files — NOT SKILL.md files","separate from the 1,116 actual skills"
43,saas_templates,plugins/saas-packs/_templates/,31,31 template files for SaaS skill generation,
44,saas_tracker,plugins/saas-packs/TRACKER.csv,1,CSV progress tracker at saas-packs level,
