id,validator_path,field_checked,rule_description,scoring_behavior
47,scripts/validate-plugin.js,unknown,",
      ",pass/fail
48,scripts/validate-plugin.js,unknown,": {
    title: ",pass/fail
49,scripts/validate-plugin.js,unknown,",
    description: ",pass/fail
50,scripts/validate-plugin.js,unknown,",
    why: ",pass/fail
51,scripts/validate-plugin.js,unknown,",
    fix: [
      ",pass/fail
52,scripts/validate-plugin.js,unknown,",
      ",pass/fail
53,scripts/validate-plugin.js,unknown,": {
    title: ",pass/fail
54,scripts/validate-plugin.js,unknown,",
    description: ",pass/fail
55,scripts/validate-plugin.js,unknown,",
    fix: [
      ",pass/fail
56,scripts/validate-plugin.js,unknown,"
    ],
    autofix: false
  },

  ",pass/fail
57,scripts/validate-plugin.js,unknown,",
    fix: [
      ",pass/fail
58,scripts/validate-plugin.js,unknown,reset,pass/fail
59,scripts/validate-plugin.js,unknown,utf8,pass/fail
60,scripts/validate-plugin.js,unknown,invalid-json,pass/fail
61,scripts/validate-plugin.js,unknown,", { filename, error: err.message });
      return false;
    }
  }

  validatePluginManifest(data) {
    const required = [",pass/fail
62,scripts/validate-plugin.js,unknown,missing-plugin-json,pass/fail
63,scripts/validate-plugin.js,unknown,✗ plugin.json contains deprecated ,pass/fail
64,scripts/validate-plugin.js,unknown,⚠ No skills directory found,pass/fail
65,scripts/validate-plugin.js,unknown,⚠ Skills directory is empty,pass/fail
66,scripts/validate-plugin.js,unknown,${skillName},pass/fail
67,scripts/validate-plugin.js,unknown,utf8,pass/fail
68,scripts/validate-plugin.js,unknown,${skillName},pass/fail
69,scripts/validate-plugin.js,unknown,missing-2025-schema,pass/fail
70,scripts/validate-plugin.js,unknown,", { skill: skillName, file: skillFile });
        return;
      }

      // Extract frontmatter
      const frontmatterMatch = content.match(/^---\n([\s\S]*?)\n---/);
      if (!frontmatterMatch) {
  ",pass/fail
71,scripts/validate-plugin.js,unknown,allowed-tools:,pass/fail
72,scripts/validate-plugin.js,unknown,${skillName},pass/fail
73,scripts/validate-plugin.js,unknown,missing-2025-schema,pass/fail
74,scripts/validate-plugin.js,unknown,", { skill: skillName, file: skillFile });
      }

      // Check for trigger phrases in description
      if (!frontmatter.includes(",pass/fail
75,scripts/validate-plugin.js,unknown,${skillName},pass/fail
76,scripts/validate-plugin.js,unknown,${skillName},pass/fail
77,scripts/validate-plugin.js,unknown,script-not-executable,pass/fail
78,scripts/validate-plugin.js,unknown,hardcoded-secret,pass/fail
79,scripts/validate-plugin.js,unknown,✓ No hardcoded secrets detected,pass/fail
80,scripts/validate-plugin.js,unknown,✗ No component directories found,pass/fail
81,scripts/validate-plugin.js,unknown,📄 Checking Required Files...,pass/fail
82,scripts/validate-plugin.js,unknown,");
    this.checkFileExists(",pass/fail
83,scripts/validate-plugin.js,unknown,");
    this.checkFileExists(",pass/fail
84,scripts/validate-plugin.js,unknown,");

    // Validate JSONs
    this.log(",pass/fail
85,scripts/validate-plugin.js,unknown,yellow,pass/fail
86,scripts/validate-plugin.js,unknown,yellow,pass/fail
87,scripts/validate-plugin.js,unknown,red,pass/fail
88,scripts/validate-plugin.js,unknown,red,pass/fail
89,scripts/validate-plugin.js,unknown,", ",pass/fail
90,scripts/validate-skills-schema.py,unknown,Use when,100-point scale
91,scripts/validate-skills-schema.py,unknown,ERROR: pyyaml required. Install: pip install pyyaml,100-point scale
92,scripts/validate-skills-schema.py,description,description,100-point scale
93,scripts/validate-skills-schema.py,name,name,100-point scale
94,scripts/validate-skills-schema.py,name,name,100-point scale
95,scripts/validate-skills-schema.py,unknown,"t error)
DEPRECATED_FIELDS = {",100-point scale
96,scripts/validate-skills-schema.py,unknown,",
    ",100-point scale
97,scripts/validate-skills-schema.py,unknown,^---\s*\n(.*?)\n---\s*\n(.*)$,100-point scale
98,scripts/validate-skills-schema.py,unknown,")
    if fm.get(",100-point scale
99,scripts/validate-skills-schema.py,unknown,")
    if fm.get(",100-point scale
100,scripts/validate-skills-schema.py,unknown,")
    if fm.get(",100-point scale
101,scripts/validate-skills-schema.py,unknown,")
    breakdown[",100-point scale
102,scripts/validate-skills-schema.py,unknown," in body_lower:
        feedback_score += 2
        feedback_notes.append(",100-point scale
103,scripts/validate-skills-schema.py,unknown,")
    if re.search(r",100-point scale
104,scripts/validate-skills-schema.py,name,name,100-point scale
105,scripts/validate-skills-schema.py,unknown,missing: {,100-point scale
106,scripts/validate-skills-schema.py,unknown,")
    if not fm_notes:
        fm_notes.append(",100-point scale
107,scripts/validate-skills-schema.py,unknown,")
    if not opt_notes:
        opt_notes.append(",100-point scale
108,scripts/validate-skills-schema.py,unknown,fatal,100-point scale
109,scripts/validate-skills-schema.py,name,"}

    errors: List[str] = []
    warnings: List[str] = []

    # Required: name
    if ",100-point scale
110,scripts/validate-skills-schema.py,name,[command] Missing required field: name,100-point scale
111,scripts/validate-skills-schema.py,unknown,[command] ,100-point scale
112,scripts/validate-skills-schema.py,unknown,[command] ,100-point scale
113,scripts/validate-skills-schema.py,description,description,100-point scale
114,scripts/validate-skills-schema.py,description,[command] Missing required field: description,100-point scale
115,scripts/validate-skills-schema.py,unknown,[command] ,100-point scale
116,scripts/validate-skills-schema.py,unknown,[command] ,100-point scale
117,scripts/validate-skills-schema.py,unknown,[command] ,100-point scale
118,scripts/validate-skills-schema.py,unknown,[command] ,100-point scale
119,scripts/validate-skills-schema.py,unknown,[command] ,100-point scale
120,scripts/validate-skills-schema.py,category,[command] Unknown category: {fm[,100-point scale
121,scripts/validate-skills-schema.py,difficulty,[command] Unknown difficulty: {fm[,100-point scale
122,scripts/validate-skills-schema.py,unknown,": errors, ",100-point scale
123,scripts/validate-skills-schema.py,unknown,": warnings, ",100-point scale
124,scripts/validate-skills-schema.py,unknown,fatal,100-point scale
125,scripts/validate-skills-schema.py,name,"}

    errors: List[str] = []
    warnings: List[str] = []

    # Required: name
    if ",100-point scale
126,scripts/validate-skills-schema.py,agent,[agent] Missing required field: name,100-point scale
127,scripts/validate-skills-schema.py,agent,[agent] ,100-point scale
128,scripts/validate-skills-schema.py,description,description,100-point scale
129,scripts/validate-skills-schema.py,agent,[agent] Missing required field: description,100-point scale
130,scripts/validate-skills-schema.py,agent,[agent] ,100-point scale
131,scripts/validate-skills-schema.py,agent,[agent] ,100-point scale
132,scripts/validate-skills-schema.py,agent,[agent] Missing recommended field: capabilities,100-point scale
133,scripts/validate-skills-schema.py,agent,[agent] ,100-point scale
134,scripts/validate-skills-schema.py,agent,[agent] ,100-point scale
135,scripts/validate-skills-schema.py,agent,[agent] ,100-point scale
136,scripts/validate-skills-schema.py,agent,[agent] ,100-point scale
137,scripts/validate-skills-schema.py,agent,[agent] Unknown expertise_level: {fm[,100-point scale
138,scripts/validate-skills-schema.py,agent,[agent] Unknown activation_priority: {fm[,100-point scale
139,scripts/validate-skills-schema.py,agent,[agent] Unknown effort level: {fm[,100-point scale
140,scripts/check-package-manager.mjs,unknown,enforce pnpm for root,pass/fail
141,scripts/check-package-manager.mjs,unknown,enforce npm for marketplace,pass/fail
142,scripts/check-performance.mjs,unknown,total bundle size,pass/fail
143,scripts/check-performance.mjs,unknown,largest file size,pass/fail
144,scripts/check-performance.mjs,unknown,build time,pass/fail
145,scripts/check-performance.mjs,unknown,route count,pass/fail
146,scripts/check-routes.mjs,unknown,plugin page routes exist,pass/fail
147,scripts/check-official-links.mjs,unknown,internal links resolve,pass/fail
148,scripts/check-official-links.mjs,unknown,skill-to-plugin links valid,pass/fail
149,scripts/audit-plugin-agents.sh,unknown,plugin.json,pass/fail
150,scripts/audit-plugin-agents.sh,unknown,$plugin_name: agents/ exists but no .md files,pass/fail
151,scripts/audit-plugin-agents.sh,unknown,$agent_file,pass/fail
152,scripts/audit-plugin-agents.sh,unknown,"
            agent_violations+=(",pass/fail
153,scripts/audit-plugin-agents.sh,unknown,")
            has_violation=true
            ((non_compliant_agents++))
            continue
        fi

        # Extract frontmatter
        frontmatter=$(awk ",pass/fail
154,scripts/audit-plugin-agents.sh,unknown,$frontmatter,pass/fail
155,scripts/audit-plugin-agents.sh,unknown,$plugin_name/$agent_name: Description too short,pass/fail
156,scripts/audit-plugin-agents.sh,unknown,    ✓ description: Present ($desc_length chars),pass/fail
157,scripts/audit-plugin-agents.sh,unknown,description,pass/fail
158,scripts/audit-plugin-agents.sh,unknown,")
            has_violation=true
        fi

        # Check for capabilities field (RECOMMENDED)
        if echo ",pass/fail
159,scripts/audit-plugin-agents.sh,unknown,$plugin_name/$agent_name: Empty capabilities list,pass/fail
160,scripts/audit-plugin-agents.sh,unknown,    ℹ No capabilities defined (recommended but not required),pass/fail
161,scripts/audit-plugin-agents.sh,unknown,$plugin_name/$agent_name: No heading,pass/fail
162,scripts/audit-plugin-agents.sh,unknown,$content_after_frontmatter,pass/fail
163,scripts/audit-plugin-agents.sh,unknown,$plugin_name/$agent_name: Minimal content,pass/fail
164,scripts/audit-plugin-agents.sh,unknown,    ✓ Content: $content_lines lines,pass/fail
165,scripts/audit-plugin-agents.sh,unknown,AGENT WARNINGS (${#agent_warnings[@]}):,pass/fail
166,scripts/audit-plugin-agents.sh,unknown,${agent_warnings[@]},pass/fail
167,scripts/audit-plugin-agents.sh,unknown,"
    done
fi

echo ",pass/fail
168,scripts/audit-plugin-commands.sh,unknown,plugin.json,pass/fail
169,scripts/audit-plugin-commands.sh,unknown,$plugin_name: commands/ exists but no .md files,pass/fail
170,scripts/audit-plugin-commands.sh,unknown,$cmd_file,pass/fail
171,scripts/audit-plugin-commands.sh,unknown,"
            command_violations+=(",pass/fail
172,scripts/audit-plugin-commands.sh,unknown,")
            has_violation=true
            ((non_compliant_commands++))
            continue
        fi

        # Extract frontmatter
        frontmatter=$(awk ",pass/fail
173,scripts/audit-plugin-commands.sh,unknown,$plugin_name/$cmd_name: Description too short,pass/fail
174,scripts/audit-plugin-commands.sh,unknown,    ✓ description: Present ($desc_length chars),pass/fail
175,scripts/audit-plugin-commands.sh,unknown,description,pass/fail
176,scripts/audit-plugin-commands.sh,unknown,")
            has_violation=true
        fi

        # Check for optional fields in frontmatter
        if echo ",pass/fail
177,scripts/audit-plugin-commands.sh,unknown,$plugin_name/$cmd_name: No heading,pass/fail
178,scripts/audit-plugin-commands.sh,unknown,$content_after_frontmatter,pass/fail
179,scripts/audit-plugin-commands.sh,unknown,$plugin_name/$cmd_name: Minimal content,pass/fail
180,scripts/audit-plugin-commands.sh,unknown,    ✓ Content: $content_lines lines,pass/fail
181,scripts/audit-plugin-commands.sh,unknown,COMMAND WARNINGS (${#command_warnings[@]}):,pass/fail
182,scripts/audit-plugin-commands.sh,unknown,${command_warnings[@]},pass/fail
183,scripts/audit-plugin-commands.sh,unknown,"
    done
fi

echo ",pass/fail
184,scripts/audit-plugin-directories.sh,unknown,plugin.json,pass/fail
185,scripts/audit-plugin-directories.sh,unknown,$plugin_json,pass/fail
186,scripts/audit-plugin-directories.sh,unknown,"
            structure_warnings+=(",pass/fail
187,scripts/audit-plugin-directories.sh,unknown,$plugin_dir/commands,pass/fail
188,scripts/audit-plugin-directories.sh,unknown,"
            structure_warnings+=(",pass/fail
189,scripts/audit-plugin-directories.sh,unknown,$plugin_dir/agents,pass/fail
190,scripts/audit-plugin-directories.sh,unknown,"
            structure_warnings+=(",pass/fail
191,scripts/audit-plugin-directories.sh,unknown,$plugin_dir/README.md,pass/fail
192,scripts/audit-plugin-directories.sh,unknown,"
        structure_warnings+=(",pass/fail
193,scripts/audit-plugin-directories.sh,unknown,STATUS: ❌ STRUCTURE VIOLATIONS,pass/fail
194,scripts/audit-plugin-directories.sh,unknown,STATUS: ⚠ COMPLIANT WITH WARNINGS,pass/fail
195,scripts/audit-plugin-directories.sh,unknown,STRUCTURE WARNINGS (${#structure_warnings[@]}):,pass/fail
196,scripts/audit-plugin-directories.sh,unknown,${structure_warnings[@]},pass/fail
197,scripts/audit-plugin-directories.sh,unknown,"
    done
fi

echo ",pass/fail
198,scripts/audit-plugin-manifests.sh,unknown,$1,pass/fail
199,scripts/audit-plugin-manifests.sh,unknown,"
        critical_violations+=(",pass/fail
200,scripts/audit-plugin-manifests.sh,unknown,")
        has_critical=true
        ((plugins_with_violations++))
        continue
    fi

    # Check REQUIRED fields

    # 1. Check name field
    name=$(jq -r ",pass/fail
201,scripts/audit-plugin-manifests.sh,unknown,name,pass/fail
202,scripts/audit-plugin-manifests.sh,unknown,name,pass/fail
203,scripts/audit-plugin-manifests.sh,unknown,version,pass/fail
204,scripts/audit-plugin-manifests.sh,unknown,version,pass/fail
205,scripts/audit-plugin-manifests.sh,unknown,description,pass/fail
206,scripts/audit-plugin-manifests.sh,unknown,description,pass/fail
207,scripts/audit-plugin-manifests.sh,unknown,"
            minor_warnings+=(",pass/fail
208,scripts/audit-plugin-manifests.sh,unknown,"
            minor_warnings+=(",pass/fail
209,scripts/audit-plugin-manifests.sh,unknown,")
            has_minor=true
        fi
    fi

    # Check homepage
    homepage=$(jq -r ",pass/fail
210,scripts/audit-plugin-manifests.sh,unknown,"
            minor_warnings+=(",pass/fail
211,scripts/audit-plugin-manifests.sh,unknown,")
            has_minor=true
        fi
    fi

    # Check repository
    repository=$(jq -r ",pass/fail
212,scripts/audit-plugin-manifests.sh,unknown,"
            minor_warnings+=(",pass/fail
213,scripts/audit-plugin-manifests.sh,unknown,")
            has_minor=true
        fi
    fi

    # Check license
    license=$(jq -r ",pass/fail
214,scripts/audit-plugin-manifests.sh,unknown,"
            minor_warnings+=(",pass/fail
215,scripts/audit-plugin-manifests.sh,unknown,")
            has_major=true
        else
            echo ",pass/fail
216,scripts/audit-plugin-manifests.sh,unknown,")
            has_major=true
        else
            echo ",pass/fail
217,scripts/audit-plugin-manifests.sh,unknown,")
                has_major=true
            else
                echo ",pass/fail
218,scripts/audit-plugin-manifests.sh,unknown,")
                has_major=true
            else
                echo ",pass/fail
219,scripts/audit-plugin-manifests.sh,unknown,STATUS: ⚠ COMPLIANT WITH WARNINGS,pass/fail
220,scripts/audit-plugin-manifests.sh,unknown,"
echo ",pass/fail
221,scripts/audit-plugin-manifests.sh,unknown,MINOR WARNINGS (${#minor_warnings[@]}):,pass/fail
222,scripts/audit-plugin-manifests.sh,unknown,${minor_warnings[@]},pass/fail
223,scripts/audit-plugin-manifests.sh,unknown,"
    done
fi

echo ",pass/fail
224,scripts/audit-skills-quality.py,unknown,")
        score -= 15

    # Check for trigger phrases
    trigger_patterns = [",100-point scale
225,scripts/audit-skills-quality.py,unknown,")
        score -= 15

    # Check for vague terms
    vague_terms = [",100-point scale
226,scripts/audit-skills-quality.py,unknown,name,100-point scale
227,scripts/audit-skills-quality.py,unknown,name,100-point scale
228,scripts/audit-skills-quality.py,unknown,description,100-point scale
229,marketplace/scripts/validate-routes.mjs,unknown,plugin page routes exist,pass/fail
230,marketplace/scripts/validate-official-links.mjs,unknown,internal links resolve,pass/fail
231,marketplace/scripts/validate-official-links.mjs,unknown,skill-to-plugin links valid,pass/fail
232,marketplace/scripts/validate-links.mjs,unknown,internal links resolve,pass/fail
233,marketplace/scripts/validate-links.mjs,unknown,skill-to-plugin links valid,pass/fail
234,marketplace/scripts/validate-playbook-routes.mjs,unknown,plugin page routes exist,pass/fail
235,marketplace/scripts/validate-internal-links.mjs,unknown,internal links resolve,pass/fail
236,marketplace/scripts/validate-internal-links.mjs,unknown,skill-to-plugin links valid,pass/fail
