id,name,path,pack_name,plugin_name,structure_shape,file_count,has_references,has_scripts,has_assets
57,creating-webhook-handlers,plugins/api-development/webhook-handler-creator/skills/creating-webhook-handlers,api-development,webhook-handler-creator,SKILL.md + references/,4,1,0,0
58,building-websocket-server,plugins/api-development/websocket-server-builder/skills/building-websocket-server,api-development,websocket-server-builder,SKILL.md + references/,4,1,0,0
59,changelog-orchestrator,plugins/automation/mattyp-changelog/skills/changelog-orchestrator,automation,mattyp-changelog,SKILL.md + assets/ + references/ + scripts/,10,1,1,1
60,brand-strategy,plugins/business-tools/brand-strategy-framework/skills/brand-strategy,business-tools,brand-strategy-framework,SKILL.md,1,0,0,0
61,excel-dcf-modeler,plugins/business-tools/excel-analyst-pro/skills/excel-dcf-modeler,business-tools,excel-analyst-pro,SKILL.md + assets/ + references/ + resources/ + scripts/,6,1,1,1
62,excel-lbo-modeler,plugins/business-tools/excel-analyst-pro/skills/excel-lbo-modeler,business-tools,excel-analyst-pro,SKILL.md + assets/ + references/ + scripts/,5,1,1,1
63,excel-pivot-wizard,plugins/business-tools/excel-analyst-pro/skills/excel-pivot-wizard,business-tools,excel-analyst-pro,SKILL.md + assets/ + references/ + scripts/,5,1,1,1
64,excel-variance-analyzer,plugins/business-tools/excel-analyst-pro/skills/excel-variance-analyzer,business-tools,excel-analyst-pro,SKILL.md + assets/ + references/ + scripts/,5,1,1,1
65,action-items-todoist,plugins/business-tools/executive-assistant-skills/skills/action-items-todoist,business-tools,executive-assistant-skills,SKILL.md,1,0,0,0
66,email-drafting,plugins/business-tools/executive-assistant-skills/skills/email-drafting,business-tools,executive-assistant-skills,SKILL.md,1,0,0,0
67,executive-digest,plugins/business-tools/executive-assistant-skills/skills/executive-digest,business-tools,executive-assistant-skills,SKILL.md,1,0,0,0
68,meeting-prep,plugins/business-tools/executive-assistant-skills/skills/meeting-prep,business-tools,executive-assistant-skills,SKILL.md,1,0,0,0
69,todoist-due-drafts,plugins/business-tools/executive-assistant-skills/skills/todoist-due-drafts,business-tools,executive-assistant-skills,SKILL.md,1,0,0,0
70,blue-ocean-strategy,plugins/business-tools/wondelai-blue-ocean-strategy/skills/blue-ocean-strategy,business-tools,wondelai-blue-ocean-strategy,SKILL.md + references/,9,1,0,0
71,contagious,plugins/business-tools/wondelai-contagious/skills/contagious,business-tools,wondelai-contagious,SKILL.md + references/,11,1,0,0
72,cro-methodology,plugins/business-tools/wondelai-cro-methodology/skills/cro-methodology,business-tools,wondelai-cro-methodology,SKILL.md + references/,8,1,0,0
73,crossing-the-chasm,plugins/business-tools/wondelai-crossing-the-chasm/skills/crossing-the-chasm,business-tools,wondelai-crossing-the-chasm,SKILL.md + references/,10,1,0,0
74,drive-motivation,plugins/business-tools/wondelai-drive-motivation/skills/drive-motivation,business-tools,wondelai-drive-motivation,SKILL.md + references/,9,1,0,0
75,hundred-million-offers,plugins/business-tools/wondelai-hundred-million-offers/skills/hundred-million-offers,business-tools,wondelai-hundred-million-offers,SKILL.md + references/,12,1,0,0
76,influence-psychology,plugins/business-tools/wondelai-influence-psychology/skills/influence-psychology,business-tools,wondelai-influence-psychology,SKILL.md + references/,12,1,0,0
77,jobs-to-be-done,plugins/business-tools/wondelai-jobs-to-be-done/skills/jobs-to-be-done,business-tools,wondelai-jobs-to-be-done,SKILL.md + references/,7,1,0,0
78,made-to-stick,plugins/business-tools/wondelai-made-to-stick/skills/made-to-stick,business-tools,wondelai-made-to-stick,SKILL.md + references/,11,1,0,0
79,negotiation,plugins/business-tools/wondelai-negotiation/skills/negotiation,business-tools,wondelai-negotiation,SKILL.md + references/,3,1,0,0
80,obviously-awesome,plugins/business-tools/wondelai-obviously-awesome/skills/obviously-awesome,business-tools,wondelai-obviously-awesome,SKILL.md + references/,10,1,0,0
81,one-page-marketing,plugins/business-tools/wondelai-one-page-marketing/skills/one-page-marketing,business-tools,wondelai-one-page-marketing,SKILL.md + references/,12,1,0,0
82,predictable-revenue,plugins/business-tools/wondelai-predictable-revenue/skills/predictable-revenue,business-tools,wondelai-predictable-revenue,SKILL.md + references/,10,1,0,0
83,scorecard-marketing,plugins/business-tools/wondelai-scorecard-marketing/skills/scorecard-marketing,business-tools,wondelai-scorecard-marketing,SKILL.md + references/,6,1,0,0
84,storybrand-messaging,plugins/business-tools/wondelai-storybrand-messaging/skills/storybrand-messaging,business-tools,wondelai-storybrand-messaging,SKILL.md + references/,8,1,0,0
85,traction-eos,plugins/business-tools/wondelai-traction-eos/skills/traction-eos,business-tools,wondelai-traction-eos,SKILL.md + references/,10,1,0,0
86,website-generator,plugins/community/b12-claude-plugin/skills/website-generator,community,b12-claude-plugin,SKILL.md,1,0,0,0
87,memory,plugins/community/claude-never-forgets/skills/memory,community,claude-never-forgets,SKILL.md + references/ + scripts/,5,1,1,0
88,claude-reflect,plugins/community/claude-reflect,community,claude-reflect,SKILL.md + .claude-plugin/ + commands/ + hooks/ + scripts/ + LICENSE + README.md,13,0,1,0
89,gastown,plugins/community/gastown/skills/gastown,community,gastown,SKILL.md + references/,8,1,0,0
90,firebase-vertex-ai,plugins/community/jeremy-firebase/skills/firebase-vertex-ai,community,jeremy-firebase,SKILL.md + references/ + scripts/,3,1,1,0
91,firestore-operations-manager,plugins/community/jeremy-firestore/skills/firestore-operations-manager,community,jeremy-firestore,SKILL.md + references/ + scripts/,3,1,1,0
92,agent-patterns,plugins/community/sprint/skills/agent-patterns,community,sprint,SKILL.md + references/,4,1,0,0
93,api-contract,plugins/community/sprint/skills/api-contract,community,sprint,SKILL.md + references/,7,1,0,0
94,spec-writing,plugins/community/sprint/skills/spec-writing,community,sprint,SKILL.md + references/,4,1,0,0
95,sprint-workflow,plugins/community/sprint/skills/sprint-workflow,community,sprint,SKILL.md + references/,4,1,0,0
96,zai-cli,plugins/community/zai-cli/skills/zai-cli,community,zai-cli,SKILL.md + references/,3,1,0,0
97,finding-arbitrage-opportunities,plugins/crypto/arbitrage-opportunity-finder/skills/finding-arbitrage-opportunities,crypto,arbitrage-opportunity-finder,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,13,1,1,0
98,exploring-blockchain-data,plugins/crypto/blockchain-explorer-cli/skills/exploring-blockchain-data,crypto,blockchain-explorer-cli,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,12,1,1,0
99,monitoring-cross-chain-bridges,plugins/crypto/cross-chain-bridge-monitor/skills/monitoring-cross-chain-bridges,crypto,cross-chain-bridge-monitor,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,18,1,1,0
100,tracking-crypto-derivatives,plugins/crypto/crypto-derivatives-tracker/skills/tracking-crypto-derivatives,crypto,crypto-derivatives-tracker,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,14,1,1,0
101,aggregating-crypto-news,plugins/crypto/crypto-news-aggregator/skills/aggregating-crypto-news,crypto,crypto-news-aggregator,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,17,1,1,0
102,tracking-crypto-portfolio,plugins/crypto/crypto-portfolio-tracker/skills/tracking-crypto-portfolio,crypto,crypto-portfolio-tracker,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,16,1,1,0
103,generating-trading-signals,plugins/crypto/crypto-signal-generator/skills/generating-trading-signals,crypto,crypto-signal-generator,SKILL.md + config/ + data/ + references/ + scripts/,11,1,1,0
104,calculating-crypto-taxes,plugins/crypto/crypto-tax-calculator/skills/calculating-crypto-taxes,crypto,crypto-tax-calculator,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,17,1,1,0
105,optimizing-defi-yields,plugins/crypto/defi-yield-optimizer/skills/optimizing-defi-yields,crypto,defi-yield-optimizer,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,17,1,1,0
106,routing-dex-trades,plugins/crypto/dex-aggregator-router/skills/routing-dex-trades,crypto,dex-aggregator-router,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,18,1,1,0
107,simulating-flash-loans,plugins/crypto/flash-loan-simulator/skills/simulating-flash-loans,crypto,flash-loan-simulator,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,13,1,1,0
108,optimizing-gas-fees,plugins/crypto/gas-fee-optimizer/skills/optimizing-gas-fees,crypto,gas-fee-optimizer,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,12,1,1,0
109,analyzing-liquidity-pools,plugins/crypto/liquidity-pool-analyzer/skills/analyzing-liquidity-pools,crypto,liquidity-pool-analyzer,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,16,1,1,0
110,scanning-market-movers,plugins/crypto/market-movers-scanner/skills/scanning-market-movers,crypto,market-movers-scanner,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,16,1,1,0
111,tracking-crypto-prices,plugins/crypto/market-price-tracker/skills/tracking-crypto-prices,crypto,market-price-tracker,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,14,1,1,0
112,analyzing-market-sentiment,plugins/crypto/market-sentiment-analyzer/skills/analyzing-market-sentiment,crypto,market-sentiment-analyzer,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,16,1,1,0
113,analyzing-mempool,plugins/crypto/mempool-analyzer/skills/analyzing-mempool,crypto,mempool-analyzer,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,13,1,1,0
114,analyzing-nft-rarity,plugins/crypto/nft-rarity-analyzer/skills/analyzing-nft-rarity,crypto,nft-rarity-analyzer,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,12,1,1,0
115,analyzing-on-chain-data,plugins/crypto/on-chain-analytics/skills/analyzing-on-chain-data,crypto,on-chain-analytics,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,11,1,1,0
116,analyzing-options-flow,plugins/crypto/options-flow-analyzer/skills/analyzing-options-flow,crypto,options-flow-analyzer,SKILL.md + references/,4,1,0,0
117,optimizing-staking-rewards,plugins/crypto/staking-rewards-optimizer/skills/optimizing-staking-rewards,crypto,staking-rewards-optimizer,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,16,1,1,0
118,tracking-token-launches,plugins/crypto/token-launch-tracker/skills/tracking-token-launches,crypto,token-launch-tracker,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,12,1,1,0
119,backtesting-trading-strategies,plugins/crypto/trading-strategy-backtester/skills/backtesting-trading-strategies,crypto,trading-strategy-backtester,SKILL.md + .pytest_cache/ + commands/ + config/ + data/ + references/ + reports/ + scripts/ + tests/,40,1,1,0
120,auditing-wallet-security,plugins/crypto/wallet-security-auditor/skills/auditing-wallet-security,crypto,wallet-security-auditor,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,17,1,1,0
121,monitoring-whale-activity,plugins/crypto/whale-alert-monitor/skills/monitoring-whale-activity,crypto,whale-alert-monitor,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,17,1,1,0
122,generating-database-seed-data,plugins/database/data-seeder-generator/skills/generating-database-seed-data,database,data-seeder-generator,SKILL.md + assets/ + references/ + scripts/,4,1,1,1
123,validating-database-integrity,plugins/database/data-validation-engine/skills/validating-database-integrity,database,data-validation-engine,SKILL.md + assets/ + references/ + scripts/,6,1,1,1
124,archiving-databases,plugins/database/database-archival-system/skills/archiving-databases,database,database-archival-system,SKILL.md + assets/ + references/ + scripts/,5,1,1,1
125,implementing-database-audit-logging,plugins/database/database-audit-logger/skills/implementing-database-audit-logging,database,database-audit-logger,SKILL.md + assets/ + references/ + scripts/,8,1,1,1
126,automating-database-backups,plugins/database/database-backup-automator/skills/automating-database-backups,database,database-backup-automator,SKILL.md + assets/ + config/ + references/ + scripts/,16,1,1,1
127,implementing-database-caching,plugins/database/database-cache-layer/skills/implementing-database-caching,database,database-cache-layer,SKILL.md + assets/ + references/ + scripts/,5,1,1,1
128,optimizing-database-connection-pooling,plugins/database/database-connection-pooler/skills/optimizing-database-connection-pooling,database,database-connection-pooler,SKILL.md + assets/ + references/ + scripts/,4,1,1,1
129,detecting-database-deadlocks,plugins/database/database-deadlock-detector/skills/detecting-database-deadlocks,database,database-deadlock-detector,SKILL.md + assets/ + references/ + scripts/,5,1,1,1
130,comparing-database-schemas,plugins/database/database-diff-tool/skills/comparing-database-schemas,database,database-diff-tool,SKILL.md + assets/ + references/ + scripts/,5,1,1,1
131,database-documentation-gen,plugins/database/database-documentation-gen/skills/database-documentation-gen,database,database-documentation-gen,SKILL.md + assets/ + references/ + scripts/,7,1,1,1
132,monitoring-database-health,plugins/database/database-health-monitor/skills/monitoring-database-health,database,database-health-monitor,SKILL.md + assets/ + references/ + scripts/,4,1,1,1
133,analyzing-database-indexes,plugins/database/database-index-advisor/skills/analyzing-database-indexes,database,database-index-advisor,SKILL.md + assets/ + references/ + scripts/,5,1,1,1
134,managing-database-migrations,plugins/database/database-migration-manager/skills/managing-database-migrations,database,database-migration-manager,SKILL.md + assets/ + references/ + scripts/,4,1,1,1
135,managing-database-partitions,plugins/database/database-partition-manager/skills/managing-database-partitions,database,database-partition-manager,SKILL.md + assets/ + references/ + scripts/,4,1,1,1
136,managing-database-recovery,plugins/database/database-recovery-manager/skills/managing-database-recovery,database,database-recovery-manager,SKILL.md + assets/ + references/ + scripts/,8,1,1,1
137,managing-database-replication,plugins/database/database-replication-manager/skills/managing-database-replication,database,database-replication-manager,SKILL.md + assets/ + references/ + scripts/,6,1,1,1
138,designing-database-schemas,plugins/database/database-schema-designer/skills/designing-database-schemas,database,database-schema-designer,SKILL.md + assets/ + references/ + scripts/,4,1,1,1
139,scanning-database-security,plugins/database/database-security-scanner/skills/scanning-database-security,database,database-security-scanner,SKILL.md + assets/ + references/ + scripts/,4,1,1,1
140,managing-database-sharding,plugins/database/database-sharding-manager/skills/managing-database-sharding,database,database-sharding-manager,SKILL.md + assets/ + references/ + scripts/,5,1,1,1
141,monitoring-database-transactions,plugins/database/database-transaction-monitor/skills/monitoring-database-transactions,database,database-transaction-monitor,SKILL.md + assets/ + references/ + scripts/,5,1,1,1
142,modeling-nosql-data,plugins/database/nosql-data-modeler/skills/modeling-nosql-data,database,nosql-data-modeler,SKILL.md + assets/ + references/ + scripts/,7,1,1,1
143,generating-orm-code,plugins/database/orm-code-generator/skills/generating-orm-code,database,orm-code-generator,SKILL.md + assets/ + references/ + scripts/,6,1,1,1
144,analyzing-query-performance,plugins/database/query-performance-analyzer/skills/analyzing-query-performance,database,query-performance-analyzer,SKILL.md + assets/ + references/ + scripts/,4,1,1,1
145,optimizing-sql-queries,plugins/database/sql-query-optimizer/skills/optimizing-sql-queries,database,sql-query-optimizer,SKILL.md + assets/ + references/ + scripts/,6,1,1,1
146,generating-stored-procedures,plugins/database/stored-procedure-generator/skills/generating-stored-procedures,database,stored-procedure-generator,SKILL.md + assets/ + config/ + references/ + scripts/,13,1,1,1
147,design-everyday-things,plugins/design/wondelai-design-everyday-things/skills/design-everyday-things,design,wondelai-design-everyday-things,SKILL.md + references/,12,1,0,0
148,hooked-ux,plugins/design/wondelai-hooked-ux/skills/hooked-ux,design,wondelai-hooked-ux,SKILL.md + references/,9,1,0,0
149,ios-hig-design,plugins/design/wondelai-ios-hig-design/skills/ios-hig-design,design,wondelai-ios-hig-design,SKILL.md + references/,13,1,0,0
150,refactoring-ui,plugins/design/wondelai-refactoring-ui/skills/refactoring-ui,design,wondelai-refactoring-ui,SKILL.md + references/,7,1,0,0
151,top-design,plugins/design/wondelai-top-design/skills/top-design,design,wondelai-top-design,SKILL.md + references/,7,1,0,0
152,ux-heuristics,plugins/design/wondelai-ux-heuristics/skills/ux-heuristics,design,wondelai-ux-heuristics,SKILL.md + references/,9,1,0,0
153,web-typography,plugins/design/wondelai-web-typography/skills/web-typography,design,wondelai-web-typography,SKILL.md + references/,7,1,0,0
154,creating-ansible-playbooks,plugins/devops/ansible-playbook-creator/skills/creating-ansible-playbooks,devops,ansible-playbook-creator,SKILL.md + assets/ + references/ + scripts/,9,1,1,1
155,configuring-auto-scaling-policies,plugins/devops/auto-scaling-configurator/skills/configuring-auto-scaling-policies,devops,auto-scaling-configurator,SKILL.md + assets/ + references/ + scripts/,8,1,1,1
156,implementing-backup-strategies,plugins/devops/backup-strategy-implementor/skills/implementing-backup-strategies,devops,backup-strategy-implementor,SKILL.md + assets/ + references/ + scripts/,4,1,1,1
157,building-cicd-pipelines,plugins/devops/ci-cd-pipeline-builder/skills/building-cicd-pipelines,devops,ci-cd-pipeline-builder,SKILL.md + assets/ + references/ + scripts/,4,1,1,1
158,optimizing-cloud-costs,plugins/devops/cloud-cost-optimizer/skills/optimizing-cloud-costs,devops,cloud-cost-optimizer,SKILL.md + assets/ + references/ + scripts/,9,1,1,1
159,checking-infrastructure-compliance,plugins/devops/compliance-checker/skills/checking-infrastructure-compliance,devops,compliance-checker,SKILL.md + assets/ + references/ + scripts/,8,1,1,1
160,managing-container-registries,plugins/devops/container-registry-manager/skills/managing-container-registries,devops,container-registry-manager,SKILL.md + assets/ + references/ + scripts/ + SKILL.md.tmp,5,1,1,1
161,scanning-container-security,plugins/devops/container-security-scanner/skills/scanning-container-security,devops,container-security-scanner,SKILL.md + assets/ + references/ + scripts/,6,1,1,1
162,orchestrating-deployment-pipelines,plugins/devops/deployment-pipeline-orchestrator/skills/orchestrating-deployment-pipelines,devops,deployment-pipeline-orchestrator,SKILL.md + assets/ + references/ + scripts/,7,1,1,1
163,managing-deployment-rollbacks,plugins/devops/deployment-rollback-manager/skills/managing-deployment-rollbacks,devops,deployment-rollback-manager,SKILL.md + assets/ + references/ + scripts/,10,1,1,1
164,planning-disaster-recovery,plugins/devops/disaster-recovery-planner/skills/planning-disaster-recovery,devops,disaster-recovery-planner,SKILL.md + assets/ + references/ + scripts/,4,1,1,1
165,generating-docker-compose-files,plugins/devops/docker-compose-generator/skills/generating-docker-compose-files,devops,docker-compose-generator,SKILL.md + assets/ + references/ + scripts/,10,1,1,1
166,managing-environment-configurations,plugins/devops/environment-config-manager/skills/managing-environment-configurations,devops,environment-config-manager,SKILL.md + assets/ + references/ + scripts/,5,1,1,1
167,fairdb-backup-manager,plugins/devops/fairdb-operations-kit/skills/fairdb-backup-manager,devops,fairdb-operations-kit,SKILL.md + assets/ + references/ + scripts/,4,1,1,1
168,gh-dash,plugins/devops/gh-dash/skills/gh-dash,devops,gh-dash,SKILL.md,1,0,0,0
169,generating-smart-commits,plugins/devops/git-commit-smart/skills/generating-smart-commits,devops,git-commit-smart,SKILL.md + assets/ + references/ + scripts/,7,1,1,1
