Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
coderabbit-ci-integration,"DevOps engineers, CI/CD specialists, platform teams","Integrate CodeRabbit into CI/CD pipelines for automated review gates","When building automated deployment pipelines with quality gates","GitHub Actions, GitLab CI, Jenkins, CircleCI, or other CI systems","CodeRabbit step runs in CI pipeline, blocks deployment on critical issues, results visible in CI logs","Automated quality gates without manual intervention, consistent enforcement across all deployments","Seamless CI/CD integration with automated review enforcement","true",CI/CD,coderabbit-ci-integration,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-multi-env-setup,"Platform engineers, DevOps leads, enterprise architects","Configure CodeRabbit for multiple environments including dev, staging, and production branches","When managing code review across environment-specific branches","CodeRabbit branch configuration, environment-specific rules, multi-repo settings","Environment-aware reviews deployed, stricter rules for production branches, environment context in comments","Appropriate review rigor per environment, reduced production incidents from code issues","Environment-aware AI review with graduated strictness","true",CI/CD,coderabbit-multi-env-setup,"Read, Write, Edit, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-deploy-pipeline,"Release engineers, DevOps teams, platform engineers","Configure CodeRabbit as deployment gate in release pipelines","When establishing release quality gates with AI review requirements","Deployment pipeline configuration, release management tools, CodeRabbit API","CodeRabbit approval required for production deploys, deployment blocked on unresolved critical issues","Zero deployments with unreviewed critical issues, improved release quality metrics","Automated deployment gates with AI code review approval","true",CI/CD,coderabbit-deploy-pipeline,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-prod-checklist,"Release managers, senior engineers, DevOps leads","Complete production readiness checklist for CodeRabbit deployment","Before enabling CodeRabbit for production workloads or critical repositories","CodeRabbit configuration, monitoring setup, alerting configuration","All checklist items verified, rollback plan documented, monitoring dashboards active","Production-grade reliability, stakeholder confidence in AI review system","Verified production readiness for CodeRabbit deployment","true",CI/CD,coderabbit-prod-checklist,"Read, Write, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-upgrade-migration,"Platform engineers, DevOps teams, system administrators","Plan and execute CodeRabbit version upgrades and configuration migrations","When new CodeRabbit features are available or migration is required","CodeRabbit dashboard, configuration files, changelog documentation","Upgrade completed with zero downtime, all custom rules migrated, new features enabled","Continuous improvement of AI review capabilities, access to latest features","Smooth upgrade path with preserved customizations","true",CI/CD,coderabbit-upgrade-migration,"Read, Write, Edit, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-observability,"SRE teams, DevOps engineers, platform reliability engineers","Implement comprehensive observability for CodeRabbit including metrics, logs, and alerting","When operating CodeRabbit at scale or requiring SLA compliance","Monitoring platforms, CodeRabbit API, webhook logs, custom dashboards","Review latency tracked, error rates monitored, alerting on anomalies configured","SLA compliance verified, proactive issue detection, performance trends visible","Full observability stack for CodeRabbit operations","true",Enterprise,coderabbit-observability,"Read, Write, Edit, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-cost-tuning,"Engineering managers, FinOps teams, platform architects","Optimize CodeRabbit costs through usage analysis and configuration tuning","When CodeRabbit costs exceed budget or optimization opportunities exist","CodeRabbit billing dashboard, usage analytics, repository configuration","Cost reduced by 30% without impacting coverage, usage patterns documented, optimization plan in place","Predictable CodeRabbit costs, maximized ROI on AI review investment","Cost-optimized CodeRabbit deployment with maintained quality","true",Enterprise,coderabbit-cost-tuning,"Read, Write, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-load-scale,"Enterprise architects, platform engineers, DevOps leads","Scale CodeRabbit for high-volume repositories and large organizations","When onboarding large repositories or experiencing performance issues at scale","CodeRabbit enterprise settings, rate limiting configuration, queue management","Reviews complete within SLA at 10x current volume, no dropped reviews, graceful degradation under load","Reliable AI review at enterprise scale, consistent developer experience","Enterprise-scale CodeRabbit deployment with proven capacity","true",Enterprise,coderabbit-load-scale,"Read, Write, Edit, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-team-management,"Engineering managers, team leads, org administrators","Configure CodeRabbit team settings including permissions, notifications, and team-specific rules","When managing multiple teams with different CodeRabbit requirements","CodeRabbit team settings, organization dashboard, notification configuration","Team-specific configurations deployed, appropriate permissions granted, notification preferences respected","Team autonomy within organizational guardrails, reduced configuration conflicts","Scalable team management for CodeRabbit across organization","true",Enterprise,coderabbit-team-management,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-reference-architecture,"Enterprise architects, platform teams, technical leadership","Design and implement reference architecture for CodeRabbit in enterprise environments","When planning large-scale CodeRabbit deployment or establishing organizational standards","Architecture documentation, integration diagrams, deployment patterns","Reference architecture documented, validated with pilot teams, approved by architecture review","Consistent CodeRabbit deployment pattern across organization, reduced implementation variance","Enterprise-standard CodeRabbit reference architecture","true",Enterprise,coderabbit-reference-architecture,"Read, Write, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-advanced-troubleshooting,"Senior engineers, platform reliability engineers, support escalation","Diagnose and resolve complex CodeRabbit issues requiring deep technical investigation","When standard troubleshooting fails or issues require root cause analysis","CodeRabbit logs, API traces, webhook payloads, network captures","Root cause identified, permanent fix implemented, runbook updated for future incidents","Reduced mean time to resolution (MTTR) for complex issues, improved system reliability","Expert-level troubleshooting for complex CodeRabbit issues","true",Advanced,coderabbit-advanced-troubleshooting,"Read, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-debug-bundle,"Support engineers, platform teams, incident responders","Create comprehensive debug bundle for CodeRabbit issues including logs, config, and state","When escalating issues to CodeRabbit support or performing post-incident analysis","CodeRabbit configuration, system logs, webhook history, API responses","Complete debug bundle generated in under 5 minutes, all relevant data captured, sensitive data redacted","Faster support resolution, complete incident documentation, improved vendor collaboration","Comprehensive debug information collection for issue resolution","true",Advanced,coderabbit-debug-bundle,"Read, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-ai-review-tuning,"ML engineers, senior developers, platform architects","Fine-tune CodeRabbit AI review behavior for improved accuracy and relevance","When AI reviews have high false positive rates or miss important issues","CodeRabbit AI settings, feedback history, custom training data","False positive rate below 3%, domain-specific patterns detected, feedback loop established","AI reviews match senior developer judgment in 90%+ cases, reduced noise fatigue","Optimized AI review quality matching team expertise","true",Advanced,coderabbit-ai-review-tuning,"Read, Write, Edit, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-reliability-patterns,"SRE teams, platform architects, reliability engineers","Implement reliability patterns for CodeRabbit including fallbacks, circuit breakers, and graceful degradation","When CodeRabbit becomes critical infrastructure requiring high availability","CodeRabbit integration points, fallback configurations, circuit breaker settings","Graceful degradation when CodeRabbit unavailable, automatic recovery on service restoration, no blocked PRs","Maintained development velocity during CodeRabbit outages, resilient review infrastructure","Highly reliable CodeRabbit integration with failure tolerance","true",Advanced,coderabbit-reliability-patterns,"Read, Write, Edit, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
