date,fixture,prompt,model,skill_version,diff_file,p1_detected,p1_fixed,p2_detected,p2_fixed,p3_detected,p3_fixed,p4_detected,p4_fixed,p5_detected,p5_fixed,tests_pass,notes
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,28_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,29_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,25_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,23_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,34_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,32_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,33_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,31_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,27_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,24_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,35_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,39_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,41_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,36_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,38_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,40_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,37_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,30_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,26_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,46_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,49_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,43_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,44_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,42_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,48_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,45_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,51_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,52_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,47_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,56_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,50_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,53_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,54_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,55_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,57_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,58_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,59_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,60_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,62_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,67_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,66_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,64_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,61_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,63_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,68_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,65_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,70_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,71_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,72_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,79_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,74_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,76_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,69_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,78_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,77_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,86_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,75_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,81_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,83_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,80_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,82_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,88_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,85_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,92_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,84_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,87_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,91_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,89_20260314_A_baseline.diff,yes,yes,no,no,no,no,no,no,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,90_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,93_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,94_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,96_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,95_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,A,opus-4.6-high-effort,,97_20260314_A_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,98_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,99_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-14,hono-drizzle-app,B,opus-4.6-high-effort,,73_20260314_B_baseline.diff,yes,yes,no,no,no,no,yes,yes,no,no,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,100_20260315_B_v003.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,101_20260315_A_v003.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,102_20260315_A_v003.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,103_20260315_A_v003.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,105_20260315_A_v003.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,106_20260315_A_v003.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,112_20260315_B_v003.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,114_20260315_A_v003.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,107_20260315_B_v003.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,109_20260315_B_v003.diff,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,117_20260315_A_v003.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,111_20260315_B_v003.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,108_20260315_B_v003.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,104_20260315_A_v003.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,118_20260315_B_v003.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,113_20260315_B_v003.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,116_20260315_B_v003.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,119_20260315_A_v003.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,120_20260315_B_v003.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,110_20260315_A_v003.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,122_20260315_A_v003.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,123_20260315_A_v003.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,115_20260315_A_v003.diff,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,121_20260315_A_v003.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,128_20260315_B_v003.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,125_20260315_B_v003.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,126_20260315_B_v003.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,124_20260315_A_v003.diff,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,131_20260315_A_v003.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,129_20260315_B_v003.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,130_20260315_B_v003.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,127_20260315_B_v003.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,136_20260315_A_v003.diff,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,133_20260315_B_v003.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,135_20260315_B_v003.diff,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,132_20260315_A_v003.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,134_20260315_B_v003.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,B,opus-4.6-high-effort,v003,138_20260315_B_v003.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,137_20260315_A_v003.diff,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,
2026-03-15,hono-drizzle-app,A,opus-4.6-high-effort,v003,139_20260315_A_v003.diff,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,
